raw_eco,model_eco,eco_name,kind
46,46,Northern Glaciated Plains,native
47,47,Western Corn Belt Plains,native
48,48,Lake Agassiz Plain,native
49,49,Northern Minnesota Wetlands,native
50,50,Northern Lakes and Forests,native
51,51,North Central Hardwood Forests,native
52,52,Driftless Area,native
53,53,Southeastern Wisconsin Till Plains,native
54,54,Central Corn Belt Plains,native
55,55,Eastern Corn Belt Plains,native
56,56,Southern Michigan/Northern Indiana Drift Plains,native
57,57,Huron/Erie Lake Plains,native
