eco_code,eco_name
1,Coast Range
2,Puget Lowland
3,Willamette Valley
4,Cascades
9,Eastern Cascades Slopes and Foothills
10,Columbia Plateau
11,Blue Mountains
15,Northern Rockies
45,Piedmont
46,Northern Glaciated Plains
47,Western Corn Belt Plains
48,Lake Agassiz Plain
49,Northern Minnesota Wetlands
50,Northern Lakes and Forests
51,North Central Hardwood Forests
52,Driftless Area
53,Southeastern Wisconsin Till Plains
54,Central Corn Belt Plains
55,Eastern Corn Belt Plains
56,Southern Michigan/Northern Indiana Drift Plains
57,Huron/Erie Lake Plains
58,Northeastern Highlands
59,Northeastern Coastal Zone
61,Erie Drift Plain
65,Southeastern Plains
66,Blue Ridge
67,Ridge and Valley
68,Southwestern Appalachians
70,Western Allegheny Plateau
71,Interior Plateau
72,Interior River Valleys and Hills
75,Southern Coastal Plain
77,North Cascades
82,Acadian Plains and Hills
83,Eastern Great Lakes Lowlands
