model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,01,reserve,2025,558.05,5.692
CBM,01,reserve,2026,565.007,5.763
CBM,01,reserve,2027,571.884,5.833
CBM,01,reserve,2028,578.684,5.903
CBM,01,reserve,2029,585.405,5.971
CBM,01,reserve,2030,592.05,6.039
CBM,01,reserve,2031,598.618,6.106
CBM,01,reserve,2032,605.112,6.172
CBM,01,reserve,2033,611.532,6.238
CBM,01,reserve,2034,617.878,6.302
CBM,01,reserve,2035,624.152,6.366
CBM,01,reserve,2036,630.354,6.43
CBM,01,reserve,2037,636.486,6.492
CBM,01,reserve,2038,642.547,6.554
CBM,01,reserve,2039,648.539,6.615
CBM,01,reserve,2040,654.463,6.676
CBM,01,reserve,2041,660.319,6.735
CBM,01,reserve,2042,666.108,6.794
CBM,01,reserve,2043,671.832,6.853
CBM,01,reserve,2044,677.489,6.91
CBM,01,reserve,2045,683.083,6.967
CBM,01,reserve,2046,688.612,7.024
CBM,01,reserve,2047,694.078,7.08
CBM,01,reserve,2048,699.482,7.135
CBM,01,reserve,2049,704.824,7.189
CBM,01,reserve,2050,710.105,7.243
CBM,01,reserve,2051,715.326,7.296
CBM,01,reserve,2052,720.488,7.349
CBM,01,reserve,2053,725.59,7.401
CBM,01,reserve,2054,730.634,7.452
CBM,01,reserve,2055,735.62,7.503
CBM,01,reserve,2056,740.55,7.554
CBM,01,reserve,2057,745.423,7.603
CBM,01,reserve,2058,750.241,7.652
CBM,01,reserve,2059,755.003,7.701
CBM,01,reserve,2060,759.712,7.749
CBM,01,reserve,2061,764.366,7.797
CBM,01,reserve,2062,768.967,7.843
CBM,01,reserve,2063,773.516,7.89
CBM,01,reserve,2064,778.013,7.936
CBM,01,reserve,2065,782.459,7.981
CBM,01,reserve,2066,786.853,8.026
CBM,01,reserve,2067,791.198,8.07
CBM,01,reserve,2068,795.493,8.114
CBM,01,reserve,2069,799.739,8.157
CBM,01,reserve,2070,803.936,8.2
CBM,01,reserve,2071,808.086,8.242
CBM,01,reserve,2072,812.188,8.284
CBM,01,reserve,2073,816.243,8.326
CBM,01,reserve,2074,820.252,8.367
CBM,01,reserve,2075,824.215,8.407
CBM,01,reserve,2076,828.133,8.447
CBM,01,reserve,2077,832.007,8.486
CBM,01,reserve,2078,835.836,8.526
CBM,01,reserve,2079,839.621,8.564
CBM,01,reserve,2080,843.363,8.602
CBM,01,reserve,2081,847.063,8.64
CBM,01,reserve,2082,850.72,8.677
CBM,01,reserve,2083,854.335,8.714
CBM,01,reserve,2084,857.909,8.751
CBM,01,reserve,2085,861.442,8.787
CBM,01,reserve,2086,864.935,8.822
CBM,01,reserve,2087,868.388,8.858
CBM,01,reserve,2088,871.802,8.892
CBM,01,reserve,2089,875.177,8.927
CBM,01,reserve,2090,878.513,8.961
CBM,01,reserve,2091,881.811,8.994
CBM,01,reserve,2092,885.071,9.028
CBM,01,reserve,2093,888.294,9.061
CBM,01,reserve,2094,891.481,9.093
CBM,01,reserve,2095,894.631,9.125
CBM,01,reserve,2096,897.745,9.157
CBM,01,reserve,2097,900.823,9.188
CBM,01,reserve,2098,903.867,9.219
CBM,01,reserve,2099,906.875,9.25
CBM,01,reserve,2100,909.849,9.28
CBM,04,reserve,2025,135.23,2.421
CBM,04,reserve,2026,137.739,2.466
CBM,04,reserve,2027,140.217,2.51
CBM,04,reserve,2028,142.664,2.554
CBM,04,reserve,2029,145.08,2.597
CBM,04,reserve,2030,147.466,2.64
CBM,04,reserve,2031,149.82,2.682
CBM,04,reserve,2032,152.145,2.723
CBM,04,reserve,2033,154.438,2.764
CBM,04,reserve,2034,156.637,2.804
CBM,04,reserve,2035,158.807,2.843
CBM,04,reserve,2036,160.948,2.881
CBM,04,reserve,2037,163.061,2.919
CBM,04,reserve,2038,165.145,2.956
CBM,04,reserve,2039,167.199,2.993
CBM,04,reserve,2040,169.224,3.029
CBM,04,reserve,2041,171.218,3.065
CBM,04,reserve,2042,173.183,3.1
CBM,04,reserve,2043,175.118,3.135
CBM,04,reserve,2044,177.022,3.169
CBM,04,reserve,2045,178.897,3.202
CBM,04,reserve,2046,180.742,3.235
CBM,04,reserve,2047,182.558,3.268
CBM,04,reserve,2048,184.344,3.3
CBM,04,reserve,2049,186.1,3.331
CBM,04,reserve,2050,187.827,3.362
CBM,04,reserve,2051,189.523,3.392
CBM,04,reserve,2052,191.189,3.422
CBM,04,reserve,2053,192.826,3.452
CBM,04,reserve,2054,194.432,3.48
CBM,04,reserve,2055,196.013,3.509
CBM,04,reserve,2056,197.568,3.536
CBM,04,reserve,2057,199.099,3.564
CBM,04,reserve,2058,200.603,3.591
CBM,04,reserve,2059,202.082,3.617
CBM,04,reserve,2060,203.536,3.643
CBM,04,reserve,2061,204.964,3.669
CBM,04,reserve,2062,206.366,3.694
CBM,04,reserve,2063,207.743,3.719
CBM,04,reserve,2064,209.095,3.743
CBM,04,reserve,2065,210.423,3.767
CBM,04,reserve,2066,211.728,3.79
CBM,04,reserve,2067,213.011,3.813
CBM,04,reserve,2068,214.27,3.835
CBM,04,reserve,2069,215.507,3.858
CBM,04,reserve,2070,216.721,3.879
CBM,04,reserve,2071,217.911,3.901
CBM,04,reserve,2072,219.079,3.922
CBM,04,reserve,2073,220.223,3.942
CBM,04,reserve,2074,221.345,3.962
CBM,04,reserve,2075,222.447,3.982
CBM,04,reserve,2076,223.531,4.001
CBM,04,reserve,2077,224.595,4.02
CBM,04,reserve,2078,225.641,4.039
CBM,04,reserve,2079,226.667,4.057
CBM,04,reserve,2080,227.675,4.075
CBM,04,reserve,2081,228.663,4.093
CBM,04,reserve,2082,229.632,4.11
CBM,04,reserve,2083,230.582,4.127
CBM,04,reserve,2084,231.513,4.144
CBM,04,reserve,2085,232.427,4.16
CBM,04,reserve,2086,233.322,4.176
CBM,04,reserve,2087,234.2,4.192
CBM,04,reserve,2088,235.06,4.208
CBM,04,reserve,2089,235.902,4.223
CBM,04,reserve,2090,236.726,4.237
CBM,04,reserve,2091,237.533,4.252
CBM,04,reserve,2092,238.322,4.266
CBM,04,reserve,2093,239.093,4.28
CBM,04,reserve,2094,239.846,4.293
CBM,04,reserve,2095,240.585,4.306
CBM,04,reserve,2096,241.311,4.319
CBM,04,reserve,2097,242.022,4.332
CBM,04,reserve,2098,242.719,4.345
CBM,04,reserve,2099,243.402,4.357
CBM,04,reserve,2100,244.071,4.369
CBM,05,reserve,2025,464.86,4.835
CBM,05,reserve,2026,471.732,4.906
CBM,05,reserve,2027,478.537,4.977
CBM,05,reserve,2028,485.278,5.047
CBM,05,reserve,2029,491.954,5.116
CBM,05,reserve,2030,498.567,5.185
CBM,05,reserve,2031,505.116,5.253
CBM,05,reserve,2032,511.602,5.321
CBM,05,reserve,2033,518.027,5.387
CBM,05,reserve,2034,524.39,5.454
CBM,05,reserve,2035,530.692,5.519
CBM,05,reserve,2036,536.934,5.584
CBM,05,reserve,2037,543.117,5.648
CBM,05,reserve,2038,549.24,5.712
CBM,05,reserve,2039,555.305,5.775
CBM,05,reserve,2040,561.311,5.838
CBM,05,reserve,2041,567.26,5.9
CBM,05,reserve,2042,573.153,5.961
