state,agc_loss_rate_2025_pct_yr,ramp_2100,basis
AL,0.0187,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
AR,0.0202,1.4,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
AZ,0.0097,3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
CA,0.0717,3.5,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
CO,0.0592,3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
CT,0.0593,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
DE,0.014,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
FL,0.0329,1.5,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
GA,0.015,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
IA,0.0264,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
ID,0.2339,3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
IL,0.0163,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
IN,0.0105,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
KS,0.0213,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
KY,0.0342,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
LA,0.0238,1.4,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MA,0.0373,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MD,0.0224,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
ME,0.0167,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MI,0.0327,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MN,0.0153,1.4,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MO,0.0241,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MS,0.0204,1.4,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
MT,0.1063,3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NC,0.0234,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
ND,0.0195,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NE,0.0183,1.3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NH,0.0265,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NJ,0.0362,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NM,0.061,3,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NV,0.0034,2.5,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
NY,0.0324,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
OH,0.0242,1.2,"LCMS natural-disturbance (CBM BAU vs lcms_nat, 50yr) base; ramp from climate/OR-report"
