state,agc_loss_rate_2025_pct_yr_LCMS
ID,0.2339
RI,0.2168
WA,0.1935
OR,0.1127
MT,0.1063
CA,0.0717
NM,0.061
CT,0.0593
CO,0.0592
WY,0.0502
MA,0.0373
OK,0.0368
NJ,0.0362
KY,0.0342
WV,0.0334
FL,0.0329
MI,0.0327
NY,0.0324
WI,0.0302
TN,0.0279
NH,0.0265
IA,0.0264
VA,0.0258
PA,0.0244
OH,0.0242
MO,0.0241
LA,0.0238
NC,0.0234
MD,0.0224
KS,0.0213
UT,0.021
MS,0.0204
AR,0.0202
ND,0.0195
AL,0.0187
NE,0.0183
TX,0.0175
ME,0.0167
SC,0.0166
IL,0.0163
MN,0.0153
VT,0.0152
GA,0.015
DE,0.014
IN,0.0105
AZ,0.0097
SD,0.0051
NV,0.0034
