state,n_forested_plots,agc_MgC_ha,forest_ha,agc_TgC_total
OK,8716,30.58,4780000,146.17
AL,30755,41.60,9320000,387.71
OR,23305,84.69,12180000,1031.52
AR,25674,45.17,7750000,350.07
PA,16000,61.75,6780000,418.67
RI,703,50.89,145000,7.38
AZ,12258,18.33,7530000,138.02
CA,13041,71.42,13300000,949.89
CO,9700,30.49,8850000,269.84
CT,1774,62.72,720000,45.16
DE,726,60.24,140000,8.43
SC,30131,46.93,5270000,247.32
SD,2362,25.17,850000,21.39
FL,30463,37.10,7010000,260.07
TN,19019,57.78,5660000,327.03
TX,30191,28.71,24500000,703.39
UT,9817,19.68,7290000,143.47
GA,49424,45.44,9710000,441.22
IA,3468,40.17,1270000,51.02
ID,10410,48.28,8300000,400.72
IL,7037,49.75,1960000,97.51
VA,29185,60.71,6580000,399.47
IN,9188,55.77,1950000,108.75
KS,4798,29.51,2400000,70.82
VT,4697,62.13,1850000,114.94
KY,12941,52.51,5080000,266.75
WA,13000,90.30,8900000,803.67
LA,15727,45.10,5770000,260.23
MA,2932,61.23,1270000,77.76
MD,2777,64.71,1080000,69.89
WI,40472,42.30,6700000,283.41
ME,18975,44.00,6770000,297.88
WV,11953,67.58,4900000,331.14
WY,4638,29.72,4680000,139.09
MI,46362,47.44,8140000,386.16
MN,51395,32.56,7040000,229.22
MO,20017,46.04,6140000,282.69
MS,23141,47.51,8010000,380.56
MT,11968,39.18,10640000,416.88
NC,31776,53.82,7280000,391.81
ND,1179,22.10,295000,6.52
NE,1865,27.20,600000,16.32
NH,5036,62.54,1900000,118.83
NJ,2799,54.33,820000,44.55
NM,10070,17.61,7100000,125.03
NV,5330,11.53,4700000,54.19
NY,14797,57.38,7650000,438.96
OH,7883,53.46,3220000,172.14
