ST,year,mean,rel_lo,rel_hi,ndraw
AL,2025,34.731,1.0,1.0,24
AL,2030,55.026,1.0,1.0,24
AL,2035,68.12,1.0,1.0,24
AL,2040,78.173,1.0,1.0,24
AL,2045,88.709,1.0,1.0,24
AL,2050,98.873,1.0,1.0,24
AL,2055,108.449,1.0,1.0,24
AL,2060,117.564,1.0,1.0,24
AL,2065,126.711,1.0,1.0,24
AL,2070,135.107,1.0,1.0,24
AL,2075,142.924,1.0,1.0,24
AL,2080,150.214,1.0,1.0,24
AL,2085,156.825,1.0,1.0,24
AL,2090,162.712,1.0,1.0,24
AL,2095,167.612,1.0,1.0,24
AL,2100,171.798,1.0,1.0,24
AL,2105,175.466,1.0,1.0,24
AL,2110,178.905,1.0,1.0,24
AL,2115,181.772,1.0,1.0,24
AL,2120,184.235,1.0,1.0,24
AL,2125,186.458,1.0,1.0,24
CA,2025,16.547,1.0,1.0,24
CA,2030,38.467,0.9902,1.0161,24
CA,2035,45.885,0.9798,1.031,24
CA,2040,53.491,0.9747,1.0399,24
CA,2045,61.88,0.9711,1.0457,24
CA,2050,70.071,0.9661,1.0467,24
CA,2055,78.122,0.9654,1.0504,24
CA,2060,86.459,0.9622,1.0523,24
CA,2065,94.729,0.9602,1.0509,24
CA,2070,102.894,0.9583,1.0486,24
CA,2075,110.645,0.962,1.0449,24
CA,2080,117.995,0.9636,1.0472,24
CA,2085,125.415,0.9623,1.047,24
CA,2090,132.39,0.9644,1.0486,24
CA,2095,139.558,0.9633,1.0473,24
CA,2100,146.353,0.9659,1.0476,24
CA,2105,153.148,0.9661,1.0453,24
CA,2110,159.456,0.9683,1.0441,24
CA,2115,165.599,0.9684,1.0433,24
CA,2120,171.464,0.9673,1.0407,24
CA,2125,176.922,0.9689,1.0398,24
GA,2025,31.358,1.0,1.0,30
GA,2030,52.38,1.0,1.0,30
GA,2035,66.539,1.0,1.0,30
GA,2040,77.507,1.0,1.0,30
GA,2045,88.579,1.0,1.0,30
GA,2050,98.999,1.0,1.0,30
GA,2055,108.391,1.0,1.0,30
GA,2060,117.517,1.0,1.0,30
GA,2065,126.49,1.0,1.0,30
GA,2070,134.547,1.0,1.0,30
GA,2075,141.957,1.0,1.0,30
GA,2080,148.477,1.0,1.0,30
GA,2085,154.148,1.0,1.0,30
GA,2090,159.265,1.0,1.0,30
GA,2095,163.753,1.0,1.0,30
GA,2100,167.8,1.0,1.0,30
GA,2105,171.319,1.0,1.0,30
GA,2110,174.627,1.0,1.0,30
GA,2115,177.885,1.0,1.0,30
GA,2120,180.813,1.0,1.0,30
GA,2125,183.499,1.0,1.0,30
ID,2025,7.26,1.0,1.0,30
ID,2030,19.096,0.9795,1.032,30
ID,2035,22.464,0.9647,1.0484,30
ID,2040,25.281,0.9536,1.059,30
ID,2045,27.633,0.9454,1.067,30
ID,2050,29.597,0.939,1.0741,30
ID,2055,31.217,0.9338,1.0809,30
ID,2060,32.629,0.9287,1.0869,30
ID,2065,33.848,0.9255,1.0928,30
ID,2070,34.943,0.9233,1.0991,30
ID,2075,36.014,0.9213,1.1033,30
ID,2080,37.013,0.9194,1.1052,30
ID,2085,37.989,0.9168,1.1055,30
ID,2090,38.877,0.9143,1.1061,30
ID,2095,39.68,0.913,1.108,30
ID,2100,40.407,0.912,1.1101,30
ID,2105,41.159,0.9107,1.1113,30
ID,2110,41.895,0.9093,1.1116,30
