state,year,n_models,ens_equal,ens_benchmark,median,between_sd,within_sd,anchor_se,lo90,hi90,crI_rel_pct
AL,2025,4,558,558,558,0,8.3,5.7,541.5,574.6,3
AL,2050,4,693.8,733.3,701.5,219.6,13.1,7.2,331.7,1055.9,52.2
AL,2075,4,791,849.4,797.4,329.1,16,8.1,248.7,1333.2,68.6
AL,2100,4,813.7,876.8,827.1,355,16.8,8.4,228.8,1398.5,71.9
AZ,2025,4,135.2,135.2,135.2,0,6.7,2.4,123.5,147,8.7
AZ,2050,4,163.5,164.8,167.3,53.7,8.9,3,73.8,253.2,54.9
AZ,2075,4,185.4,185.3,185.2,90.7,10.3,3.3,35.3,335.6,81
AZ,2100,4,171.5,178.5,186.9,79.7,11,3.3,39.1,303.9,77.2
AR,2025,4,464.9,464.9,464.9,0,4.8,4.8,453.7,476,2.4
AR,2050,4,564.2,592.8,624.9,134,6.5,6.5,343.2,785.2,39.2
AR,2075,4,609.1,651.5,695.9,201,6.8,7.2,278,940.2,54.4
AR,2100,4,607.2,653.5,662,239,5.9,6.9,213.8,1000.7,64.8
CA,2025,4,1002.6,1002.6,1002.6,0,51,12,916.4,1088.9,8.6
CA,2050,4,1269.4,1231.7,1156.2,592.2,69.3,13.9,288.2,2250.5,77.3
CA,2075,4,1470.8,1390.9,1231.3,1016.9,77.6,14.8,0,3148.7,114.1
CA,2100,4,1580.2,1465.5,1236.1,1280,80.6,14.8,0,3690.1,133.5
CO,2025,4,271.6,271.6,271.6,0,13.5,3.6,248.6,294.6,8.5
CO,2050,4,321.9,326.3,335.1,105.3,17.5,4.5,146.1,497.7,54.6
CO,2075,4,351.2,356.8,368.2,164.8,19.8,4.9,78,624.4,77.8
CO,2100,4,353.7,360.6,374.6,189.4,20.7,5,40.1,667.2,88.7
CT,2025,4,64.5,64.5,64.5,0,2.8,2.1,58.6,70.3,9
CT,2050,4,76.7,80.3,72.9,24.1,3.3,2.4,36.5,116.9,52.4
CT,2075,4,83.9,89.2,77.3,37.5,3.6,2.6,21.7,146.1,74.1
CT,2100,4,88.4,94.8,79.7,46.5,3.8,2.7,11.6,165.2,86.9
DE,2025,3,12.7,12.7,12.7,0,0.7,0.8,10.9,14.4,14
DE,2050,3,15.6,15.6,15.8,0.5,0.9,1,13.3,18,15
DE,2075,3,17.3,17.3,17,0.8,1,1.1,14.6,20,15.6
DE,2100,3,17.7,17.7,18.6,1.6,1.1,1.2,13.9,21.4,21.1
FL,2025,4,320,320,320,0,5.7,5.5,306.9,333.2,4.1
FL,2050,4,395.4,412.7,423,84.6,8.1,7.3,255.2,535.7,35.5
FL,2075,4,434.7,458,449.8,127.7,9.4,7.8,223.7,645.7,48.5
FL,2100,4,440.5,465.2,423.9,165,10,7.3,168.3,712.7,61.8
GA,2025,3,590.1,590.1,590.1,0,14.1,6.3,564.7,615.4,4.3
GA,2050,3,797.4,797.4,769.4,76.5,20,8.2,666.6,928.2,16.4
GA,2075,3,908.2,908.2,916.4,111.3,23.3,9.7,720.5,1096,20.7
GA,2100,3,951.1,951.1,996,111.4,24.3,10.6,762.8,1139.4,19.8
ID,2025,4,417.4,417.4,417.4,0,20.9,5.8,381.7,453.1,8.6
ID,2050,4,468.9,469.2,469.7,135,29.2,6.6,241.4,696.4,48.5
ID,2075,4,469.6,469,467.7,227.8,32.6,6.5,91,848.3,80.6
ID,2100,4,413.1,415.6,420.7,211.9,30.3,5.9,60.9,765.3,85.3
IL,2025,4,150.5,150.5,150.5,0,4.3,3.5,141.3,159.6,6.1
IL,2050,4,174.2,180.5,179.1,32.6,5.1,4.2,119.4,229,31.5
IL,2075,4,189,199.2,195.7,54.3,5.7,4.6,98.8,279.2,47.7
IL,2100,4,189.5,200.9,203.6,59.3,6,4.8,91.2,287.9,51.9
IN,2025,5,178.8,178.8,178.8,0,4.2,4.1,169.2,188.4,5.4
IN,2050,5,246.3,257.9,237.8,86.6,5.4,5.5,103.3,389.3,58.1
IN,2075,5,286.6,303.9,277.7,131.6,6.1,6.4,69.6,503.5,75.7
IN,2100,5,309.6,330.1,304.3,168.7,6.5,7,31.7,587.4,89.8
IA,2025,4,72.7,72.7,72.7,0,2.3,2.4,67.2,78.2,7.6
IA,2050,4,91.8,95.5,94.1,19.5,3,3.2,59,124.6,35.8
IA,2075,4,102.3,108.5,106.8,33.1,3.5,3.6,47.2,157.3,53.8
IA,2100,4,106.9,114.7,111.9,43.8,3.7,3.7,34.4,179.5,67.9
KS,2025,4,48.8,48.8,48.8,0,1.4,1.9,44.8,52.7,8
KS,2050,4,65.3,67.9,67.1,13.6,2.1,2.7,42.2,88.3,35.3
KS,2075,4,76.4,81.1,77.9,25.7,2.7,3.1,33.6,119.2,56
KS,2100,4,83,89,82.6,34.7,3.1,3.3,25.4,140.5,69.3
KY,2025,4,393.7,393.7,393.7,0,8.8,4.8,377.2,410.2,4.2
KY,2050,4,488.9,515.3,494.1,146.4,11.1,6,247.3,730.6,49.4
KY,2075,4,531,573.9,535.3,245.2,12.1,6.5,127.1,934.9,76.1
KY,2100,4,543.4,593.3,532.8,311.9,12.2,6.4,29.9,1056.9,94.5
LA,2025,4,339.7,339.7,339.7,0,5,4.6,328.5,350.9,3.3
LA,2050,4,435.3,457.7,455.5,119.1,7.5,6.2,238.7,631.8,45.2
LA,2075,4,498.7,531,512.1,178.3,9.3,7,204.8,792.5,58.9
LA,2100,4,525,561.4,531.4,204.2,10.1,7.2,188.5,861.5,64.1
ME,2025,4,374,374,374,0,16,3.4,347.1,401,7.2
ME,2050,4,512.6,512.6,490.6,82,20.6,4.5,373.3,651.9,27.2
ME,2075,4,621,621,542.8,197.8,22.4,5,293.5,948.5,52.7
ME,2100,4,704.5,704.5,570.6,305.7,23.7,5.2,200,1209,71.6
MD,2025,4,96.2,96.2,96.2,0,4.2,3.4,87.3,105.2,9.3
MD,2050,4,105.6,109.7,112.9,19.3,5.3,4,72.1,139.1,31.7
MD,2075,4,110.2,115.7,119.5,27,5.6,4.2,64.4,156,41.6
MD,2100,4,107.6,113.1,109.6,30.8,5.9,3.9,55.6,159.6,48.3
MA,2025,4,112.2,112.2,112.2,0,4.9,2.7,103,121.4,8.2
MA,2050,4,135.1,142,128.7,45.7,5.5,3.1,59.2,210.9,56.2
MA,2075,4,148.3,158.6,135.9,70.3,5.9,3.3,32.2,264.4,78.3
MA,2100,4,155.1,167.1,138,84.6,6.1,3.3,15.5,294.7,90
MI,2025,4,512.5,512.5,512.5,0,23.3,5.7,473.1,551.8,7.7
MI,2050,4,686.8,686.8,648.2,108.5,28.2,7.3,501.9,871.6,26.9
MI,2075,4,786.6,786.6,728,162.4,31.7,8.2,514,1059.2,34.7
MI,2100,4,847.5,847.5,778.2,200.3,34,8.7,513.1,1182,39.5
MN,2025,4,308.8,308.8,308.8,0,14.6,2.7,284.3,333.3,7.9
MN,2050,4,438.6,438.6,404.2,97.7,18.9,3.6,274.8,602.5,37.4
MN,2075,4,504.4,504.4,458.4,155.9,21.7,4.1,245.4,763.5,51.4
MN,2100,4,536.4,536.4,467.1,200.6,22.9,4.2,204.2,868.6,61.9
MS,2025,4,523,523,523,0,7.8,6,506.9,539.2,3.1
MS,2050,4,677.6,717.8,717.3,209.6,11,8.2,332.1,1023.1,51
MS,2075,4,757.6,813,807.7,285.6,12.3,9.3,287,1228.2,62.1
MS,2100,4,783.4,844.6,825.8,318.8,12.3,9.5,258.3,1308.5,67
MO,2025,4,401.4,401.4,401.4,0,11.4,4.2,381.3,421.4,5
MO,2050,4,492.3,517.1,506,133.7,14.6,5.3,270.8,713.8,45
MO,2075,4,550,589.8,574.8,217.5,16.9,6,191,908.9,65.3
MO,2100,4,589.2,638.5,617.8,278.3,18.6,6.4,130.3,1048,77.9
MT,2025,4,396,396,396,0,19.8,4.6,362.6,429.3,8.4
MT,2050,4,483.1,487.6,496.6,115.8,26,5.7,287.7,678.5,40.4
MT,2075,4,518.5,528.1,547.4,222.4,29.2,6.3,149.3,887.7,71.2
MT,2100,4,521.8,532.8,554.6,269.1,30,6.4,76.2,967.4,85.4
NE,2025,4,22.4,22.4,22.4,0,0.7,1.3,20,24.8,10.8
NE,2050,4,31.8,33.4,28.8,12.2,0.9,1.7,11.4,52.1,64.1
NE,2075,4,36.9,39.5,31.7,20.4,1,1.8,3.2,70.6,91.4
NE,2100,4,40.2,43.4,33.2,25.9,1.1,1.9,0,83,106.5
NV,2025,4,54.1,54.1,54.1,0,2.7,1.2,49.3,59,8.9
NV,2050,4,73.8,71.2,66,25.8,3.4,1.4,30.9,116.7,58.1
NV,2075,4,89.8,84.6,74.3,49,3.9,1.6,8.9,170.6,90.1
NV,2100,4,120.7,107.1,79.7,105.5,4.2,1.7,0,294.4,143.8
NH,2025,5,153.2,153.2,153.2,0,5.4,2.5,143.3,163,6.4
NH,2050,5,179.9,188.7,185.7,50.1,6.4,3.1,96.6,263.1,46.3
NH,2075,5,196.1,208.7,199.3,71.2,7,3.3,78.3,313.8,60.1
NH,2100,5,202.1,216.3,210.5,84,7.1,3.5,63.3,340.9,68.7
NJ,2025,4,59.2,59.2,59.2,0,2.6,1.5,54.3,64.1,8.3
NJ,2050,4,74.3,77.8,71,23.6,3.2,1.8,35,113.6,52.9
NJ,2075,4,82.3,87.6,76.2,37.1,3.6,1.9,20.9,143.8,74.6
NJ,2100,4,85.9,92,77.4,46.3,3.9,1.9,9.3,162.5,89.1
