state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AR,reserve,294.2,0,294.2,0,0
AR,conservation,261,6.8,267.8,62,43
AR,BAU,212.7,16.3,229,158,112
AR,intensive,133.4,30.5,163.9,333,241
AZ,reserve,74,0,74,0,0
AZ,BAU,74,0,74,0,0
AZ,conservation,74,0,74,0,0
AZ,intensive,74,0,74,0,0
CA,reserve,512.9,0,512.9,0,0
CA,conservation,512.6,0.1,512.7,0,0
CA,BAU,512.3,0.1,512.4,1,0
CA,intensive,511.3,0.3,511.6,2,1
CO,reserve,131.4,0,131.4,0,0
CO,BAU,131.4,0,131.4,0,0
CO,conservation,131.4,0,131.4,0,0
CO,intensive,131.4,0,131.4,0,0
IL,reserve,112.9,0,112.9,0,0
IL,conservation,97.4,3.2,100.6,112,77
IL,BAU,77.5,7.1,84.7,265,185
IL,intensive,42.8,13.3,56.1,572,414
IN,reserve,126.4,0,126.4,0,0
IN,conservation,122.9,0.7,123.6,26,18
IN,BAU,117.7,1.8,119.5,64,44
IN,intensive,105.4,4.3,109.8,155,107
KS,reserve,42.2,0,42.2,0,0
KS,conservation,41.8,0.1,41.9,2,2
KS,BAU,41.2,0.2,41.4,6,4
KS,intensive,39.7,0.5,40.2,14,10
KY,reserve,207.4,0,207.4,0,0
KY,conservation,165.9,8.1,174.1,125,89
KY,BAU,112.4,17.9,130.3,302,219
KY,intensive,36.5,29.2,65.7,607,461
LA,reserve,276.4,0,276.4,0,0
LA,conservation,248.5,5.9,254.5,67,45
LA,BAU,207.3,14.4,221.6,170,117
LA,intensive,140.9,27,167.9,354,251
MD,reserve,70.8,0,70.8,0,0
MD,conservation,69.8,0.2,70,14,10
MD,BAU,68.1,0.6,68.7,35,24
MD,intensive,64.3,1.4,65.6,86,59
MO,reserve,254.2,0,254.2,0,0
MO,conservation,250.8,0.7,251.5,8,5
MO,BAU,245.6,1.8,247.3,20,14
MO,intensive,233.6,4.2,237.8,49,34
MS,reserve,363.8,0,363.8,0,0
MS,conservation,315.2,10.1,325.3,87,60
MS,BAU,244.9,24,268.9,220,155
MS,intensive,143.6,41.9,185.6,441,321
ND,reserve,8.9,0,8.9,0,0
ND,conservation,8.8,0,8.8,5,3
ND,BAU,8.6,0.1,8.7,11,8
ND,intensive,8.3,0.1,8.4,29,19
NE,reserve,18,0,18,0,0
NE,conservation,17.6,0.1,17.7,10,7
NE,BAU,16.9,0.2,17.2,25,17
NE,intensive,15.5,0.5,16.1,59,40
NH,reserve,77.7,0,77.7,0,0
NH,conservation,76.1,0.3,76.4,13,9
NH,BAU,73.7,0.8,74.5,32,22
NH,intensive,67.8,2,69.8,80,57
NJ,reserve,45.3,0,45.3,0,0
NJ,conservation,44.8,0.1,44.9,9,6
NJ,BAU,44,0.3,44.3,22,15
NJ,intensive,42.2,0.7,42.8,53,36
NM,reserve,73.2,0,73.2,0,0
NM,BAU,73.2,0,73.2,0,0
NM,conservation,73.2,0,73.2,0,0
NM,intensive,73.2,0,73.2,0,0
NV,reserve,47.4,0,47.4,0,0
NV,conservation,47.3,0,47.4,0,0
NV,BAU,47.3,0,47.3,0,0
NV,intensive,47.1,0.1,47.2,1,1
OH,reserve,155.8,0,155.8,0,0
OH,conservation,151.9,0.8,152.7,17,12
OH,BAU,145.9,2,147.9,45,31
OH,intensive,132.8,4.6,137.5,105,73
OK,reserve,117.8,0,117.8,0,0
OK,conservation,114.5,0.7,115.1,10,7
OK,BAU,109.1,1.8,110.9,26,18
OK,intensive,97.8,4,101.9,61,43
SD,reserve,11.2,0,11.2,0,0
SD,conservation,10.9,0.1,10.9,5,4
SD,BAU,10.5,0.1,10.6,13,9
SD,intensive,9.4,0.3,9.8,31,22
UT,reserve,94.1,0,94.1,0,0
UT,conservation,94.1,0,94.1,0,0
UT,BAU,94,0,94,0,0
UT,intensive,94,0,94,0,0
WV,reserve,263,0,263,0,0
WV,conservation,254.5,1.7,256.2,25,17
WV,BAU,241.6,4.3,245.9,64,44
WV,intensive,212.9,10,222.9,152,106
WY,reserve,86.1,0,86.1,0,0
WY,conservation,86.1,0,86.1,0,0
WY,BAU,86,0,86,0,0
WY,intensive,85.8,0.1,85.8,1,1
