state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,768,0,768,0,0
AL,conservation,591.7,37,628.7,235,152
AL,BAU,375.3,78.6,453.9,561,375
AL,intensive,149.2,113,262.2,1003,710
AR,reserve,759,0,759,0,0
AR,conservation,692.1,14.5,706.6,102,64
AR,BAU,593.6,35.3,628.8,258,164
AR,intensive,427.6,68.2,495.8,544,355
AZ,reserve,233.3,0,233.3,0,0
AZ,BAU,233.3,0,233.3,0,0
AZ,conservation,233.3,0,233.3,0,0
AZ,intensive,233.3,0,233.3,0,0
CA,reserve,3733.4,0,3733.4,0,0
CA,conservation,3732.3,0.2,3732.6,1,0
CA,BAU,3730.9,0.6,3731.4,2,1
CA,intensive,3727,1.5,3728.5,5,3
CO,reserve,594.9,0,594.9,0,0
CO,BAU,594.9,0,594.9,0,0
CO,conservation,594.9,0,594.9,0,0
CO,intensive,594.9,0,594.9,0,0
CT,reserve,156.2,0,156.2,0,0
CT,conservation,155.7,0.1,155.8,8,5
CT,BAU,154.9,0.3,155.2,20,12
CT,intensive,153,0.7,153.7,48,29
DE,reserve,16,0,16,0,0
DE,conservation,16,0,16,2,1
DE,BAU,15.9,0,15.9,4,3
DE,intensive,15.9,0,15.9,10,7
FL,reserve,369.8,0,369.8,0,0
FL,conservation,220.6,29.8,250.3,282,188
FL,BAU,79.5,52.6,132.1,624,439
FL,intensive,0,57.2,57.2,982,748
GA,reserve,834,0,834,0,0
GA,conservation,332.1,98.1,430.2,716,488
GA,BAU,86.5,127.1,213.6,1295,962
GA,intensive,17.8,118.8,136.6,1762,1440
IA,reserve,153.8,0,153.8,0,0
IA,conservation,88.3,13.8,102.1,630,403
IA,BAU,42,21.9,63.8,1212,823
IA,intensive,12.2,24.4,36.6,1865,1389
ID,reserve,897.9,0,897.9,0,0
ID,conservation,893.8,0.9,894.7,6,3
ID,BAU,885.9,2.7,888.6,16,10
ID,intensive,872.2,5.8,877.9,34,21
IL,reserve,243.9,0,243.9,0,0
IL,conservation,215.3,6.2,221.5,172,108
IL,BAU,178.3,13.9,192.2,406,259
IL,intensive,111.8,26.7,138.5,877,579
IN,reserve,313,0,313,0,0
IN,conservation,305.8,1.6,307.4,42,26
IN,BAU,295.3,3.9,299.2,105,65
IN,intensive,270.5,9.2,279.7,255,160
KS,reserve,84.7,0,84.7,0,0
KS,conservation,84,0.1,84.2,3,2
KS,BAU,82.9,0.4,83.3,8,5
KS,intensive,80.5,0.9,81.4,20,12
KY,reserve,933.8,0,933.8,0,0
KY,conservation,820.7,25.2,845.9,249,152
KY,BAU,668.5,57.9,726.4,604,375
KY,intensive,430.9,104.9,535.9,1230,792
LA,reserve,569.3,0,569.3,0,0
LA,conservation,516,11.5,527.5,109,68
LA,BAU,436.8,28.2,464.9,277,176
LA,intensive,308.3,53.5,361.8,577,377
MA,reserve,279.4,0,279.4,0,0
MA,conservation,277.1,0.5,277.6,20,12
