state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,869.2,0,869.2,0,0
AL,conservation,683.7,39.5,723.1,243,156
AL,BAU,454.4,84.5,538.9,580,385
AL,intensive,210.4,123.6,334,1040,729
CA,reserve,2383.8,0,2383.8,0,0
CA,conservation,2383,0.2,2383.2,1,0
CA,BAU,2381.9,0.4,2382.3,2,1
CA,intensive,2379,1.1,2380.1,4,2
CO,reserve,528.1,0,528.1,0,0
CO,BAU,528.1,0,528.1,0,0
CO,conservation,528.1,0,528.1,0,0
CO,intensive,528.1,0,528.1,0,0
CT,reserve,259.2,0,259.2,0,0
CT,conservation,258.5,0.2,258.7,10,6
CT,BAU,257.4,0.4,257.8,26,15
CT,intensive,254.8,1,255.8,62,36
FL,reserve,676.9,0,676.9,0,0
FL,conservation,458.1,46.9,505,369,232
FL,BAU,235.9,88.4,324.4,824,544
FL,intensive,76.8,108.1,184.9,1310,931
GA,reserve,1461.6,0,1461.6,0,0
GA,conservation,684.2,162.8,846.9,987,633
GA,BAU,249.1,229.1,478.2,1805,1252
GA,intensive,78.2,233.5,311.7,2476,1878
IA,reserve,123.3,0,123.3,0,0
IA,conservation,66.3,11.7,78,574,376
IA,BAU,27.6,17.9,45.5,1100,766
IA,intensive,5.4,18.9,24.3,1685,1291
ID,reserve,850.6,0,850.6,0,0
ID,conservation,846.5,0.9,847.4,6,3
ID,BAU,838.7,2.6,841.3,16,10
ID,intensive,825.2,5.6,830.8,34,21
IN,reserve,293.9,0,293.9,0,0
IN,conservation,286.4,1.6,288,45,28
IN,BAU,275.3,4,279.3,112,70
IN,intensive,249.3,9.5,258.8,274,172
LA,reserve,1143.8,0,1143.8,0,0
LA,conservation,1060.6,19.2,1079.8,151,89
LA,BAU,935.1,47.6,982.7,386,229
LA,intensive,725,93.3,818.3,808,491
MA,reserve,257,0,257,0,0
MA,conservation,254.8,0.5,255.3,19,12
MA,BAU,251.6,1.2,252.8,47,29
MA,intensive,243.5,3,246.5,118,72
MD,reserve,195.9,0,195.9,0,0
MD,conservation,193.6,0.5,194.1,24,15
MD,BAU,190.1,1.3,191.4,60,37
MD,intensive,182,3.1,185.1,147,91
ME,reserve,868.4,0,868.4,0,0
ME,conservation,861,1.7,862.7,12,7
ME,BAU,850.4,4,854.5,29,18
ME,intensive,823.2,10.1,833.3,74,45
MI,reserve,841.4,0,841.4,0,0
MI,conservation,625.3,46,671.3,323,207
MI,BAU,410,87.9,497.9,692,459
MI,intensive,157.2,126,283.2,1276,909
MN,reserve,675.4,0,675.4,0,0
MN,conservation,640.6,7.8,648.3,55,34
MN,BAU,593.1,18.2,611.3,132,81
MN,intensive,486.8,40.9,527.7,313,196
MO,reserve,555.9,0,555.9,0,0
MO,conservation,549.7,1.3,551,12,8
MO,BAU,540.1,3.4,543.4,31,20
MO,intensive,518.1,8,526.1,74,47
MS,reserve,948.5,0,948.5,0,0
MS,conservation,840.6,23.4,864,157,98
MS,BAU,682.6,56.4,739,401,254
MS,intensive,448.6,101.5,550.1,805,527
MT,reserve,724,0,724,0,0
MT,conservation,723.2,0.2,723.4,1,1
MT,BAU,722.1,0.4,722.5,2,1
MT,intensive,719.2,1,720.3,5,3
NC,reserve,2080.1,0,2080.1,0,0
NC,conservation,1736.7,78.4,1815,500,294
