state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
AL,reserve,1172.1,0,1172.1,0,0
AL,conservation,941.6,50.5,992.1,286,178
AL,BAU,651.6,109.7,761.4,685,439
AL,intensive,331.2,165.4,496.6,1233,834
CA,reserve,3273.8,0,3273.8,0,0
CA,conservation,3272.9,0.2,3273.1,1,0
CA,BAU,3271.5,0.5,3272,2,1
CA,intensive,3268.1,1.3,3269.4,4,3
CO,reserve,667.3,0,667.3,0,0
CO,BAU,667.3,0,667.3,0,0
CO,conservation,667.3,0,667.3,0,0
CO,intensive,667.3,0,667.3,0,0
CT,reserve,277.4,0,277.4,0,0
CT,conservation,276.6,0.2,276.8,10,6
CT,BAU,275.4,0.5,275.9,27,15
CT,intensive,272.7,1.1,273.8,65,37
FL,reserve,1101.2,0,1101.2,0,0
FL,conservation,803.6,67.5,871,459,275
FL,BAU,484.8,133.1,617.9,1033,647
FL,intensive,226,175.8,401.8,1659,1110
GA,reserve,1671,0,1671,0,0
GA,conservation,814.8,182.3,997.2,1058,669
GA,BAU,320.1,262,582.1,1940,1323
GA,intensive,109.9,273.5,383.4,2667,1988
IA,reserve,166.3,0,166.3,0,0
IA,conservation,95.3,15.1,110.4,673,427
IA,BAU,44.7,23.9,68.7,1297,872
IA,intensive,12.1,26.7,38.8,1998,1472
ID,reserve,1251.2,0,1251.2,0,0
ID,conservation,1246.1,1.2,1247.3,7,4
ID,BAU,1236.3,3.4,1239.7,19,11
ID,intensive,1219.3,7.3,1226.6,41,24
IN,reserve,492.1,0,492.1,0,0
IN,conservation,481.8,2.3,484.1,57,34
IN,BAU,466.7,5.7,472.4,141,84
IN,intensive,430.8,13.7,444.5,345,207
LA,reserve,1270.6,0,1270.6,0,0
LA,conservation,1182.7,20.6,1203.2,157,91
LA,BAU,1049.6,51.1,1100.7,401,236
LA,intensive,825.8,100.5,926.3,841,506
MA,reserve,303.3,0,303.3,0,0
MA,conservation,300.8,0.6,301.4,21,12
MA,BAU,297.2,1.4,298.6,51,31
MA,intensive,288.1,3.5,291.5,129,77
MD,reserve,224.5,0,224.5,0,0
MD,conservation,221.9,0.6,222.5,26,16
MD,BAU,218,1.4,219.5,65,40
MD,intensive,208.9,3.5,212.4,159,97
ME,reserve,990.1,0,990.1,0,0
ME,conservation,982,1.9,983.9,13,8
ME,BAU,970.3,4.5,974.9,31,19
ME,intensive,940.2,11.3,951.6,80,48
MI,reserve,1015.7,0,1015.7,0,0
MI,conservation,772.9,52.8,825.8,351,221
MI,BAU,527.6,102.1,629.7,752,490
MI,intensive,229.2,150.7,379.9,1393,971
MN,reserve,816,0,816,0,0
MN,conservation,776.5,9,785.5,61,36
MN,BAU,722.4,21.1,743.6,145,88
MN,intensive,600.8,47.7,648.5,345,211
MO,reserve,890.6,0,890.6,0,0
MO,conservation,882.5,1.8,884.4,14,9
MO,BAU,869.9,4.6,874.6,37,23
MO,intensive,841.2,11.1,852.3,89,55
MS,reserve,1267.5,0,1267.5,0,0
MS,conservation,1136.9,29.1,1166,181,110
MS,BAU,944.2,70.7,1014.9,463,285
MS,intensive,653.8,129.3,783.1,931,592
MT,reserve,971.1,0,971.1,0,0
MT,conservation,970.2,0.2,970.4,1,1
MT,BAU,968.9,0.5,969.4,2,1
MT,intensive,965.5,1.3,966.7,6,3
NC,reserve,2237.1,0,2237.1,0,0
NC,conservation,1873.8,83.3,1957.1,524,307
NC,BAU,1399.8,186.7,1586.5,1266,761
NC,intensive,816.6,300.7,1117.3,2340,1472
ND,reserve,73.7,0,73.7,0,0
ND,conservation,73.3,0.1,73.4,15,8
ND,BAU,72.6,0.3,72.9,37,20
ND,intensive,70.8,0.7,71.5,95,52
NE,reserve,60.9,0,60.9,0,0
NE,conservation,59.9,0.2,60.1,18,11
NE,BAU,58.3,0.6,58.9,47,28
NE,intensive,54.9,1.4,56.2,110,66
NH,reserve,349.6,0,349.6,0,0
NH,conservation,344.8,1.1,345.9,28,17
NH,BAU,338,2.6,340.6,68,41
