model,dom,scenario,year,forest_TgC,hwp_TgC,total_TgC,forest_TgC_se
LANDIS,01,reserve,2025,558.05,0,558.05,5.692
LANDIS,01,reserve,2026,571.311,0,571.311,5.827
LANDIS,01,reserve,2027,584.495,0,584.495,5.962
LANDIS,01,reserve,2028,597.606,0,597.606,6.096
LANDIS,01,reserve,2029,610.644,0,610.644,6.229
LANDIS,01,reserve,2030,623.61,0,623.61,6.361
LANDIS,01,reserve,2031,636.506,0,636.506,6.492
LANDIS,01,reserve,2032,649.332,0,649.332,6.623
LANDIS,01,reserve,2033,662.091,0,662.091,6.753
LANDIS,01,reserve,2034,674.783,0,674.783,6.883
LANDIS,01,reserve,2035,687.361,0,687.361,7.011
LANDIS,01,reserve,2036,699.828,0,699.828,7.138
LANDIS,01,reserve,2037,712.184,0,712.184,7.264
LANDIS,01,reserve,2038,724.431,0,724.431,7.389
LANDIS,01,reserve,2039,736.571,0,736.571,7.513
LANDIS,01,reserve,2040,748.603,0,748.603,7.636
LANDIS,01,reserve,2041,760.53,0,760.53,7.757
LANDIS,01,reserve,2042,772.353,0,772.353,7.878
LANDIS,01,reserve,2043,784.072,0,784.072,7.998
LANDIS,01,reserve,2044,795.69,0,795.69,8.116
LANDIS,01,reserve,2045,807.182,0,807.182,8.233
LANDIS,01,reserve,2046,818.55,0,818.55,8.349
LANDIS,01,reserve,2047,829.796,0,829.796,8.464
LANDIS,01,reserve,2048,840.919,0,840.919,8.577
LANDIS,01,reserve,2049,851.922,0,851.922,8.69
LANDIS,01,reserve,2050,862.805,0,862.805,8.801
LANDIS,01,reserve,2051,873.569,0,873.569,8.91
LANDIS,01,reserve,2052,884.215,0,884.215,9.019
LANDIS,01,reserve,2053,894.744,0,894.744,9.126
LANDIS,01,reserve,2054,905.156,0,905.156,9.233
LANDIS,01,reserve,2055,915.445,0,915.445,9.338
LANDIS,01,reserve,2056,925.61,0,925.61,9.441
LANDIS,01,reserve,2057,935.653,0,935.653,9.544
LANDIS,01,reserve,2058,945.575,0,945.575,9.645
LANDIS,01,reserve,2059,955.376,0,955.376,9.745
LANDIS,01,reserve,2060,965.056,0,965.056,9.844
LANDIS,01,reserve,2061,974.617,0,974.617,9.941
LANDIS,01,reserve,2062,984.06,0,984.06,10.037
