model,dom,scenario,year,agc_TgC,agc_TgC_se
LANDIS,18,reserve,2025,178.8,4.112
LANDIS,18,reserve,2050,451.634,10.387
LANDIS,18,reserve,2075,589.53,13.559
LANDIS,18,reserve,2100,706.417,16.247
LANDIS,18,BAU,2025,178.8,4.112
LANDIS,18,BAU,2050,444.585,10.225
LANDIS,18,BAU,2075,570.87,13.13
LANDIS,18,BAU,2100,673.508,15.491
LANDIS,18,conservation,2025,178.8,4.112
LANDIS,18,conservation,2050,448.801,10.322
LANDIS,18,conservation,2075,581.989,13.386
LANDIS,18,conservation,2100,693.043,15.94
LANDIS,18,intensive,2025,178.8,4.112
LANDIS,18,intensive,2050,434.144,9.985
LANDIS,18,intensive,2075,543.872,12.509
LANDIS,18,intensive,2100,626.994,14.421
LANDIS,27,reserve,2025,308.78,2.748
LANDIS,27,reserve,2050,519.055,4.62
LANDIS,27,reserve,2075,625.075,5.563
LANDIS,27,reserve,2100,703.677,6.263
LANDIS,27,BAU,2025,308.78,2.748
LANDIS,27,BAU,2050,496.751,4.421
LANDIS,27,BAU,2075,573.002,5.1
LANDIS,27,BAU,2100,618.416,5.504
LANDIS,27,conservation,2025,308.78,2.748
LANDIS,27,conservation,2050,509.881,4.538
LANDIS,27,conservation,2075,603.353,5.37
LANDIS,27,conservation,2100,667.612,5.942
LANDIS,27,intensive,2025,308.78,2.748
LANDIS,27,intensive,2050,464.208,4.132
LANDIS,27,intensive,2075,501.523,4.464
LANDIS,27,intensive,2100,508.25,4.523
LANDIS,39,reserve,2025,250.86,4.917
LANDIS,39,reserve,2050,596.875,11.699
LANDIS,39,reserve,2075,811.565,15.907
LANDIS,39,reserve,2100,966.589,18.945
LANDIS,39,BAU,2025,250.86,4.917
LANDIS,39,BAU,2050,589.112,11.547
LANDIS,39,BAU,2075,790.926,15.502
LANDIS,39,BAU,2100,929.855,18.225
LANDIS,39,conservation,2025,250.86,4.917
LANDIS,39,conservation,2050,593.9,11.641
LANDIS,39,conservation,2075,803.62,15.751
LANDIS,39,conservation,2100,952.383,18.667
LANDIS,39,intensive,2025,250.86,4.917
LANDIS,39,intensive,2050,578.435,11.338
LANDIS,39,intensive,2075,763.043,14.956
LANDIS,39,intensive,2100,881.119,17.27
LANDIS,53,reserve,2025,818.67,8.269
LANDIS,53,reserve,2050,1171.875,11.836
LANDIS,53,reserve,2075,1443.274,14.577
LANDIS,53,reserve,2100,1669.525,16.862
LANDIS,53,BAU,2025,818.67,8.269
LANDIS,53,BAU,2050,1170.233,11.819
LANDIS,53,BAU,2075,1439.471,14.539
LANDIS,53,BAU,2100,1663.149,16.798
LANDIS,53,conservation,2025,818.67,8.269
LANDIS,53,conservation,2050,1171.208,11.829
LANDIS,53,conservation,2075,1441.729,14.562
LANDIS,53,conservation,2100,1666.934,16.836
LANDIS,53,intensive,2025,818.67,8.269
LANDIS,53,intensive,2050,1167.683,11.794
LANDIS,53,intensive,2075,1433.577,14.479
LANDIS,53,intensive,2100,1653.286,16.698
