model,dom,scenario,year,area_ha,agc_TgC,per_ha_MgC,factor,anchor_cv,agc_TgC_anchored,agc_TgC_anchored_se
LANDIS,18,reserve,2025,343431.99,15.61599180945,45.47,11.4498010873571,2.3,178.8,4.112
LANDIS,18,reserve,2050,342435.24,39.44465947845,115.19,11.4498010873571,2.3,451.634,10.388
LANDIS,18,reserve,2075,342863.1,51.48826982325,150.17,11.4498010873571,2.3,589.53,13.559
LANDIS,18,reserve,2100,342435.24,61.6968371547,180.17,11.4498010873571,2.3,706.417,16.248
LANDIS,27,reserve,2025,1043649.45,35.7619586202,34.27,8.63431455976203,0.89,308.78,2.748
LANDIS,27,reserve,2050,1043649.45,60.1154099496,57.6,8.63431455976203,0.89,519.055,4.62
LANDIS,27,reserve,2075,1043649.45,72.394251561,69.37,8.63431455976203,0.89,625.075,5.563
LANDIS,27,reserve,2100,1043649.45,81.49772823165,78.09,8.63431455976203,0.89,703.677,6.263
LANDIS,39,reserve,2025,600686.1,25.9400786481,43.18,9.67074939914935,1.96,250.86,4.917
LANDIS,39,reserve,2050,600686.1,61.7196098286,102.75,9.67074939914935,1.96,596.875,11.699
LANDIS,39,reserve,2075,600686.1,83.9196023058,139.71,9.67074939914935,1.96,811.565,15.907
LANDIS,39,reserve,2100,600686.1,99.94970858805,166.39,9.67074939914935,1.96,966.589,18.945
LANDIS,53,reserve,2025,2174628.15,161.85971829465,74.43,5.05789833706303,1.01,818.67,8.269
LANDIS,53,reserve,2050,2174628.15,231.69202462845,106.54,5.05789833706303,1.01,1171.875,11.836
LANDIS,53,reserve,2075,2174628.15,285.3505559655,131.22,5.05789833706303,1.01,1443.274,14.577
LANDIS,53,reserve,2100,2174628.15,330.08268399345,151.79,5.05789833706303,1.01,1669.525,16.862
