model,dist_mode,state,scenario,total_2100_TgC,forest_2100_TgC,hwp_2100_TgC,npv_0.03,npv_0.05
CBM,nodisturb,AL,BAU,576.2,489.8,86.4,581,384
CBM,disturbed,AL,BAU,566.4,480.9,85.6,578,383
FVS_cal,nodisturb,AL,BAU,453.9,375.3,78.6,561,375
FVS_cal,disturbed,AL,BAU,444.7,367,77.7,558,373
FVS_def,nodisturb,AL,BAU,505.7,417.3,88.3,609,401
FVS_def,disturbed,AL,BAU,495.5,408.1,87.4,605,399
YieldCurve,nodisturb,AL,BAU,789,667.4,121.7,754,479
YieldCurve,disturbed,AL,BAU,775.5,655,120.5,750,477
CBM,nodisturb,AL,conservation,762.6,722.4,40.2,243,155
CBM,disturbed,AL,conservation,751.4,711.5,39.8,242,155
FVS_cal,nodisturb,AL,conservation,628.7,591.7,37,235,152
FVS_cal,disturbed,AL,conservation,618.1,581.5,36.6,233,151
FVS_def,nodisturb,AL,conservation,700.2,658.8,41.4,254,162
FVS_def,disturbed,AL,conservation,688.5,647.5,41,253,161
YieldCurve,nodisturb,AL,conservation,1045.7,989.7,56,314,194
YieldCurve,disturbed,AL,conservation,1030.3,974.8,55.5,313,193
CBM,nodisturb,AL,intensive,367.4,239.6,127.7,1043,728
CBM,disturbed,AL,intensive,359.5,233.3,126.2,1037,726
FVS_cal,nodisturb,AL,intensive,262.2,149.2,113,1003,710
FVS_cal,disturbed,AL,intensive,255,143.4,111.6,998,707
FVS_def,nodisturb,AL,intensive,289.9,161.8,128.1,1090,760
FVS_def,disturbed,AL,intensive,281.8,155.3,126.6,1085,757
YieldCurve,nodisturb,AL,intensive,494.2,311.4,182.8,1358,910
YieldCurve,disturbed,AL,intensive,483.3,302.6,180.7,1351,906
CBM,nodisturb,AL,reserve,909.8,909.8,0,0,0
CBM,disturbed,AL,reserve,897.6,897.6,0,0,0
FVS_cal,nodisturb,AL,reserve,768,768,0,0,0
FVS_cal,disturbed,AL,reserve,756.5,756.5,0,0,0
FVS_def,nodisturb,AL,reserve,854.4,854.4,0,0,0
FVS_def,disturbed,AL,reserve,841.6,841.6,0,0,0
YieldCurve,nodisturb,AL,reserve,1245.7,1245.7,0,0,0
YieldCurve,disturbed,AL,reserve,1229,1229,0,0,0
CBM,nodisturb,AR,BAU,703,666.8,36.2,256,162
CBM,disturbed,AR,BAU,691.7,655.9,35.8,255,161
CEM,nodisturb,AR,BAU,220.3,204,16.4,160,112
CEM,disturbed,AR,BAU,214.7,198.5,16.2,159,112
FVS_cal,nodisturb,AR,BAU,628.8,593.6,35.3,258,164
FVS_cal,disturbed,AR,BAU,617.7,582.8,34.9,256,163
FVS_def,nodisturb,AR,BAU,738.5,697.9,40.6,283,177
FVS_def,disturbed,AR,BAU,725.8,685.7,40.2,282,176
YieldCurve,nodisturb,AR,BAU,466.5,435.1,31.5,250,162
YieldCurve,disturbed,AR,BAU,456.3,425.2,31.1,249,162
CBM,nodisturb,AR,conservation,781.3,766.4,14.8,101,63
CBM,disturbed,AR,conservation,769.4,754.7,14.7,100,63
CEM,nodisturb,AR,conservation,261.3,254.4,6.9,63,44
CEM,disturbed,AR,conservation,255.3,248.5,6.8,63,43
FVS_cal,nodisturb,AR,conservation,706.6,692.1,14.5,102,64
FVS_cal,disturbed,AR,conservation,694.9,680.5,14.3,101,64
FVS_def,nodisturb,AR,conservation,826.4,809.8,16.6,112,69
FVS_def,disturbed,AR,conservation,813.1,796.7,16.5,111,69
YieldCurve,nodisturb,AR,conservation,539.1,526.1,13,99,63
YieldCurve,disturbed,AR,conservation,528.3,515.4,12.9,98,63
CBM,nodisturb,AR,intensive,568.5,498,70.6,541,351
CBM,disturbed,AR,intensive,558.4,488.6,69.8,538,350
