state,rate_old,eff_old,fia_remv,rate_new,factor
ID,0.028,0.022,0.428,0.543,19.398
NV,0.034,0.022,0.023,0.034,1.004
AZ,0.188,0.16,0.16,0.188,1.002
CO,0.12,0.085,0.085,0.12,1.002
UT,0.104,0.072,0.072,0.104,1.002
MA,0.515,0.345,0.345,0.515,1.001
NM,0.2,0.13,0.13,0.2,1.001
WV,0.65,0.45,0.451,0.65,1.001
AL,3.375,2.504,2.504,3.375,1
AR,2.509,1.811,1.811,2.509,1
CA,0.571,0.38,0.38,0.571,1
DE,0.782,0.541,0.541,0.782,1
FL,2.295,1.729,1.729,2.295,1
GA,3.66,2.632,2.632,3.66,1
IL,0.675,0.459,0.459,0.675,1
IN,0.839,0.567,0.567,0.839,1
KY,1.161,0.823,0.823,1.161,1
LA,3.149,2.298,2.297,3.149,1
MD,0.549,0.377,0.377,0.549,1
ME,2.142,1.419,1.419,2.142,1
MI,1.463,0.98,0.98,1.463,1
MN,1.352,0.9,0.9,1.352,1
MO,0.658,0.46,0.459,0.658,1
MS,3.17,2.342,2.342,3.17,1
MT,0.463,0.308,0.308,0.463,1
NC,2.111,1.555,1.555,2.111,1
NH,1.138,0.754,0.754,1.138,1
NY,0.825,0.556,0.556,0.825,1
OK,0.976,0.691,0.69,0.976,1
OR,1.579,1.058,1.058,1.579,1
PA,1.079,0.738,0.738,1.079,1
RI,0.535,0.38,0.38,0.535,1
SC,3.563,2.608,2.608,3.563,1
SD,1.425,0.955,0.955,1.425,1
TN,1.258,0.905,0.905,1.258,1
TX,1.611,1.182,1.182,1.611,1
VA,1.939,1.402,1.403,1.939,1
VT,0.829,0.55,0.55,0.829,1
WA,1.496,0.995,0.995,1.496,1
WI,1.644,1.098,1.098,1.644,1
WY,0.003,0.002,,0.003,1
CT,0.464,0.326,0.326,0.464,0.999
IA,0.539,0.366,0.366,0.539,0.999
KS,0.303,0.216,0.215,0.303,0.999
NE,0.416,0.298,0.298,0.416,0.999
OH,0.847,0.6,0.599,0.847,0.999
NJ,0.168,0.118,0.117,0.168,0.997
ND,0.053,0.035,0.035,0.053,0.996
