state,forest_ha,clearcut_ha_yr,partial_ha_yr,total_ha_yr,harvest_rate_pct_yr,clearcut_frac
AL,9320000,94249,34901,129150,1.386,0.73
AR,7750000,27519,12965,40485,0.522,0.68
AZ,7530000,0,0,0,0.0,1.0
CA,13300000,144,122,266,0.002,0.54
CO,8850000,13,7,19,0.0,0.652
CT,720000,97,56,154,0.021,0.633
DE,140000,5,3,8,0.006,0.603
FL,7010000,126733,40353,167086,2.384,0.758
GA,9710000,339058,165027,504084,5.191,0.673
IA,1270000,26253,19546,45799,3.606,0.573
ID,8300000,1954,354,2308,0.028,0.847
IL,1960000,7776,5755,13530,0.69,0.575
IN,1950000,1499,1157,2656,0.136,0.564
KS,2400000,741,390,1131,0.047,0.655
KY,5080000,27465,15011,42477,0.836,0.647
LA,5770000,22126,9543,31669,0.549,0.699
MA,1270000,382,314,697,0.055,0.549
MD,1080000,482,333,814,0.075,0.591
ME,6770000,1996,1760,3756,0.055,0.531
MI,8140000,79271,65205,144476,1.775,0.549
MN,7040000,12739,10839,23578,0.335,0.54
MO,6140000,2224,1359,3583,0.058,0.621
MS,8010000,39775,15320,55095,0.688,0.722
MT,10640000,336,289,625,0.006,0.538
NC,7280000,67452,26719,94171,1.294,0.716
ND,295000,86,81,168,0.057,0.515
NE,600000,453,227,680,0.113,0.667
NH,1900000,903,795,1698,0.089,0.532
NJ,820000,280,169,449,0.055,0.624
NM,7100000,0,0,0,0.0,0.502
NV,4700000,128,115,243,0.005,0.528
NY,7650000,18087,14261,32348,0.423,0.559
OH,3220000,2210,1217,3427,0.106,0.645
OK,4780000,3828,2116,5944,0.124,0.644
OR,12180000,190,155,346,0.003,0.55
PA,6780000,5647,4024,9671,0.143,0.584
RI,145000,17,9,27,0.018,0.652
SC,5270000,64911,27143,92054,1.747,0.705
SD,850000,510,417,927,0.109,0.55
TN,5660000,105981,51581,157562,2.784,0.673
TX,24500000,22398,9201,31599,0.129,0.709
UT,7290000,48,31,79,0.001,0.607
VA,6580000,4874,2265,7139,0.108,0.683
VT,1850000,584,507,1091,0.059,0.535
WA,8900000,492,422,913,0.01,0.538
WI,6700000,118902,99342,218244,3.257,0.545
WV,4900000,3861,2502,6363,0.13,0.607
WY,4680000,99,62,162,0.003,0.614
