state,forest_ha,clearcut_ha_yr,partial_ha_yr,total_ha_yr,harvest_rate_pct_yr,clearcut_frac
AL,9320000,229443,84964,314408,3.375,0.73
AR,7750000,132269,62316,194589,2.509,0.68
AZ,7530000,,,,0.188,1
CA,13300000,41146,34859,76005,0.571,0.54
CO,8850000,Inf,Inf,Inf,0.12,0.652
CT,720000,2141,1236,3399,0.464,0.633
DE,140000,652,391,1043,0.782,0.603
FL,7010000,122048,38861,160909,2.295,0.758
GA,9710000,239014,116333,355346,3.66,0.673
IA,1270000,3918,2917,6836,0.539,0.573
ID,8300000,37904,6867,44771,0.543,0.847
IL,1960000,7607,5630,13236,0.675,0.575
IN,1950000,9250,7140,16389,0.839,0.564
KS,2400000,4765,2508,7272,0.303,0.655
KY,5080000,38174,20864,59040,1.161,0.647
LA,5770000,126894,54729,181623,3.149,0.699
MA,1270000,3583,2945,6537,0.515,0.549
MD,1080000,3529,2438,5960,0.549,0.591
ME,6770000,77753,68560,146314,2.142,0.531
MI,8140000,65379,53778,119156,1.463,0.549
MN,7040000,51386,43722,95107,1.352,0.54
MO,6140000,25209,15404,40612,0.658,0.621
MS,8010000,183227,70572,253799,3.17,0.722
MT,10640000,25920,22295,48215,0.463,0.538
NC,7280000,110048,43592,153640,2.111,0.716
ND,295000,80,75,155,0.053,0.515
NE,600000,1666,835,2501,0.416,0.667
NH,1900000,11538,10157,21695,1.138,0.532
NJ,820000,851,514,1365,0.168,0.624
NM,7100000,,,,0.2,0.502
NV,4700000,878,788,1667,0.034,0.528
NY,7650000,35284,27820,63104,0.825,0.559
OH,3220000,17639,9713,27352,0.847,0.645
OK,4780000,30116,16647,46763,0.976,0.644
OR,12180000,100046,81616,182189,1.579,0.55
PA,6780000,42629,30377,73006,1.079,0.584
RI,145000,505,268,803,0.535,0.652
SC,5270000,132376,55354,187729,3.563,0.705
SD,850000,6668,5452,12121,1.425,0.55
TN,5660000,47879,23302,71181,1.258,0.673
TX,24500000,279744,114917,394661,1.611,0.709
UT,7290000,5016,3240,8256,0.104,0.607
VA,6580000,87551,40686,128237,1.939,0.683
VT,1850000,8199,7118,15317,0.829,0.535
WA,8900000,73647,63169,136665,1.496,0.538
WI,6700000,59994,50124,110119,1.644,0.545
WV,4900000,19335,12528,31863,0.65,0.607
WY,4680000,99,62,162,0.003,0.614
