cluster,spcd,common_name,ba_states,is_new_vs_parent,needs_literature,landis_source_hint,longevity,sexual_maturity,shade_tolerance,fire_tolerance,seed_disperse_effective_m,seed_disperse_max_m,veg_reprod_prob,post_fire_regen
P1,835,post oak,OK:22%,yes,yes,post oak - SE LANDIS lit,,,,,,,,
P1,742,eastern cottonwood,KS:7%;NE:20%,no,no,(in parent pool),,,,,,,,
P1,122,ponderosa pine,NE:15%,yes,yes,Creutzburg; Loudermilk Sierra LANDIS,,,,,,,,
P1,110,shortleaf pine,OK:14%,no,no,(in parent pool),,,,,,,,
P1,823,bur oak,KS:5%;NE:13%,yes,yes,bur oak - eastern LANDIS lit,,,,,,,,
P1,462,hackberry,KS:13%;NE:4%,yes,yes,derive (hackberry),,,,,,,,
P1,68,eastern redcedar,NE:12%;OK:4%,yes,yes,E. redcedar - eastern LANDIS lit,,,,,,,,
P1,972,American elm,KS:9%;NE:4%,no,no,(in parent pool),,,,,,,,
P1,131,loblolly pine,OK:8%,no,no,(in parent pool),,,,,,,,
P1,641,Osage-orange,KS:8%,yes,yes,derive,,,,,,,,
P1,544,green ash,KS:7%;NE:7%,no,no,(in parent pool),,,,,,,,
P1,602,black walnut,KS:7%,no,no,(in parent pool),,,,,,,,
P1,824,blackjack oak,OK:5%,yes,yes,blackjack oak - SE LANDIS lit,,,,,,,,
P1,837,black oak,OK:5%,no,no,(in parent pool),,,,,,,,
P1,552,honeylocust,KS:4%,yes,yes,derive,,,,,,,,
P1,971,winged elm,OK:4%,yes,yes,derive (winged elm),,,,,,,,
P1,802,white oak,OK:3%,no,no,(in parent pool),,,,,,,,
P1,682,red mulberry,NE:3%,yes,yes,derive,,,,,,,,
