cluster,spcd,common_name,ba_states,is_new_vs_parent,needs_literature,landis_source_hint,longevity,sexual_maturity,shade_tolerance,fire_tolerance,seed_disperse_effective_m,seed_disperse_max_m,veg_reprod_prob,post_fire_regen
R2,65,Utah juniper,CO:15%;AZ:21%;UT:40%,yes,yes,derive (PJ woodland; sparse LANDIS lit),,,,,,,,
R2,69,oneseed juniper,NM:26%;AZ:11%,yes,yes,derive (PJ woodland),,,,,,,,
R2,122,ponderosa pine,CO:6%;NM:15%;AZ:21%,yes,yes,Creutzburg; Loudermilk Sierra LANDIS,,,,,,,,
R2,93,Engelmann spruce,CO:18%;UT:5%,no,no,(in parent pool),,,,,,,,
R2,106,Colorado pinyon,CO:7%;NM:18%;AZ:10%;UT:12%,yes,yes,derive (pinyon; Bradford PJ studies),,,,,,,,
R2,746,quaking aspen,CO:14%;UT:9%,no,no,(in parent pool),,,,,,,,
R2,108,lodgepole pine,CO:9%;UT:4%,yes,yes,Loehman; Sierra/Blue Mtns LANDIS,,,,,,,,
R2,63,alligator juniper,NM:6%;AZ:8%,yes,yes,derive (alligator juniper),,,,,,,,
R2,202,Douglas-fir,CO:7%;NM:7%;AZ:3%;UT:5%,no,no,(in parent pool),,,,,,,,
R2,19,subalpine fir,CO:7%;UT:5%,no,no,(in parent pool),,,,,,,,
R2,814,Gambel oak,NM:5%;AZ:4%;UT:5%,yes,yes,derive (Gambel oak; resprouter),,,,,,,,
R2,803,Arizona white oak,AZ:5%,yes,yes,derive (AZ white oak),,,,,,,,
R2,66,Rocky Mountain juniper,NM:4%,yes,yes,derive (juniper),,,,,,,,
R2,15,white fir,NM:3%,yes,yes,white fir - Sierra LANDIS lit,,,,,,,,
