state,gcbm_over_libcbm_pct,basis
AL,-3,regional_default
AZ,26,regional_default
CA,26,regional_default
CO,26,regional_default
CT,22,regional_default
DE,22,regional_default
FL,-5,regional_default
GA,-34,measured_density_gap_b13fia_20260531
IA,14,regional_default
ID,26,regional_default
IL,12,regional_default
IN,-25.1,measured_density_gap_b13fia_20260531
KS,12,regional_default
KY,8,regional_default
LA,-3,regional_default
MA,22,regional_default
MD,22,regional_default
ME,40.4,measured_density_gap_b13fia_20260531
MI,23,regional_default
MN,0.1,measured_density_gap_b13fia_20260531
MO,12,regional_default
MS,-3,regional_default
MT,26,regional_default
NC,-2,regional_default
ND,16,regional_default
NE,14,regional_default
NH,22,regional_default
NJ,22,regional_default
NM,26,regional_default
NV,26,regional_default
NY,22,regional_default
OH,12,regional_default
OK,8,regional_default
OR,-27.4,measured_density_gap_b13fia_20260531
PA,22,regional_default
RI,22,regional_default
SC,-4,regional_default
SD,16,regional_default
TN,8,regional_default
TX,6,regional_default
UT,26,regional_default
VA,0,regional_default
VT,22,regional_default
WA,-16.7,measured_density_gap_b13fia_20260531
WI,23,regional_default
WV,22,regional_default
WY,26,regional_default
