model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM,01,reserve,2025,558.05,8.942
CEM,01,reserve,2030,513.853,9.549
CEM,01,reserve,2035,481.015,9.283
CEM,01,reserve,2040,452.907,12.221
CEM,01,reserve,2045,428.812,10.356
CEM,01,reserve,2050,412.153,10.533
CEM,01,reserve,2055,400.432,10.723
CEM,01,reserve,2060,389.911,10.81
CEM,01,reserve,2065,381.459,10.591
CEM,01,reserve,2070,375.66,10.774
CEM,01,reserve,2075,370.345,9.184
CEM,01,reserve,2080,368.324,10.131
CEM,01,reserve,2085,364.933,9.781
CEM,01,reserve,2090,362.831,11.503
CEM,01,reserve,2095,362.152,12.62
CEM,01,reserve,2100,360.157,10.158
CEM,05,reserve,2025,464.86,3.769
CEM,05,reserve,2030,431.644,5.271
CEM,05,reserve,2035,413.527,4.92
CEM,05,reserve,2040,396.173,5.261
CEM,05,reserve,2045,380.594,6.443
CEM,05,reserve,2050,366.147,6.629
CEM,05,reserve,2055,352.677,5.572
CEM,05,reserve,2060,341.875,6.129
CEM,05,reserve,2065,332.418,6.289
CEM,05,reserve,2070,323.425,5.978
CEM,05,reserve,2075,316.164,6.005
CEM,05,reserve,2080,309.884,5.865
CEM,05,reserve,2085,303.92,5.82
CEM,05,reserve,2090,299.047,5.184
CEM,05,reserve,2095,294.247,5.21
CEM,05,reserve,2100,290.472,4.644
CEM,04,reserve,2025,135.23,1.922
CEM,04,reserve,2030,123.662,2.217
CEM,04,reserve,2035,115.288,2.772
CEM,04,reserve,2040,108.542,2.927
CEM,04,reserve,2045,102.686,2.776
CEM,04,reserve,2050,97.66,2.582
CEM,04,reserve,2055,93.266,2.704
CEM,04,reserve,2060,89.591,2.865
CEM,04,reserve,2065,86.512,2.702
CEM,04,reserve,2070,83.72,3.012
CEM,04,reserve,2075,81.365,2.788
CEM,04,reserve,2080,79.067,2.632
CEM,04,reserve,2085,77.275,2.837
CEM,04,reserve,2090,75.606,2.831
CEM,04,reserve,2095,74.049,2.818
CEM,04,reserve,2100,72.864,2.842
CEM,06,reserve,2025,1002.65,14.939
CEM,06,reserve,2030,905.118,16.28
CEM,06,reserve,2035,841.33,19.115
CEM,06,reserve,2040,787.15,18.888
CEM,06,reserve,2045,739.076,18.555
