state,model,year,value,anchor_se,param_sd,total_se,lo90,hi90,ci_source
WA,LANDIS,2100,1371.3,13.8,0,13.8,1348.5,1394.1,anchor-only
IN,LANDIS,2100,583.2,13.4,0,13.4,561.2,605.3,anchor-only
OH,LANDIS,2100,783.8,15.4,0,15.4,758.5,809.1,anchor-only
NH,LANDIS,2100,271.1,4.5,0,4.5,263.7,278.5,anchor-only
WA,FVS_cal,2100,2271.7,22.9,30.1,37.8,2209.5,2333.9,anchor+posterior
IN,FVS_cal,2100,313,7.2,0,7.2,301.2,324.9,anchor+posterior
OH,FVS_cal,2100,510.6,10,2.5,10.3,493.7,527.6,anchor+posterior
NH,FVS_cal,2100,290.7,4.8,0,4.8,282.7,298.6,anchor-only
WA,FVS_def,2100,3026.7,30.6,40.1,50.4,2943.7,3109.6,anchor+posterior
IN,FVS_def,2100,359.3,8.3,0,8.3,345.7,372.9,anchor+posterior
OH,FVS_def,2100,605.5,11.9,2.9,12.2,585.4,625.6,anchor+posterior
NH,FVS_def,2100,407.8,6.8,0,6.8,396.6,418.9,anchor-only
WA,YieldCurve,2100,1178.1,11.9,51,52.4,1091.9,1264.3,anchor+rcp+sim
IN,YieldCurve,2100,230.7,5.3,9.4,10.8,212.9,248.5,anchor+rcp+sim
OH,YieldCurve,2100,365.6,7.2,14.9,16.6,338.4,392.9,anchor+rcp+sim
NH,YieldCurve,2100,177.8,3,7.3,7.9,164.9,190.7,anchor+rcp+sim
WA,CEM,2095,505,27.1,0,27.1,460.4,549.6,anchor-only
IN,CEM,2100,125.8,8.8,0,8.8,111.4,140.2,anchor-only
OH,CEM,2100,152.8,9.6,0,9.6,137,168.6,anchor-only
NH,CEM,2095,77.7,2.5,0,2.5,73.7,81.8,anchor-only
WA,CBM,2100,1022.8,10.3,105.2,105.7,848.8,1196.7,anchor+OAT
IN,CBM,2100,306.5,7.1,47.2,47.8,228,385.1,anchor+OAT
OH,CBM,2100,409,8,30.9,31.9,356.5,461.4,anchor+OAT
NH,CBM,2100,214.7,3.6,29,29.2,166.6,262.8,anchor+OAT
