state,year,n,arith_mean,geom_mean,median,geom_vs_arith_pct
IN,2025,5,178.8,178.8,178.8,0
IN,2050,5,246.9,235.1,238.4,-4.8
IN,2075,5,287.9,263.8,279,-8.4
IN,2100,5,311.8,276.7,306.5,-11.3
NH,2025,5,153.2,153.2,153.2,0
NH,2050,5,181,174.3,186.9,-3.7
NH,2075,5,198.6,184.7,201.9,-7
NH,2100,5,206.2,187.3,214.7,-9.2
OH,2025,5,250.9,250.9,250.9,0
OH,2050,5,349.4,334.7,321.2,-4.2
OH,2075,5,408.5,372.9,365,-8.7
OH,2100,5,444.4,391.1,409,-12
WA,2025,5,818.7,818.7,818.7,0
WA,2050,5,1027.3,983.9,1000.2,-4.2
WA,2075,5,1174.6,1072.3,1119.1,-8.7
WA,2100,5,1270.5,1138.2,1178.1,-10.4
