state,n,lo,hi,med,cv_pct,fold
NV,5,46.8,383.4,86.8,85.7,8.19
NM,5,72.1,768.8,290.8,75.9,10.66
CA,5,504.5,4345.4,1386.9,73.6,8.61
CO,5,127.6,960.7,479.7,62.4,7.53
NE,5,17.9,87.6,39.4,61.6,4.89
WA,6,508.8,3026.7,1274.7,58.9,5.95
RI,5,8.2,32.3,17.3,57,3.94
KY,5,202.1,1111.1,676.1,55.3,5.5
OR,4,1248.3,4128.4,2414.4,54.5,3.31
MA,5,74.1,323,145.8,54.4,4.36
UT,5,92.7,437,231.5,53.9,4.71
NJ,5,45.1,176.6,102.2,53.7,3.92
ND,5,8.8,51.2,38.2,53,5.82
CT,5,46.3,180.4,99.4,52.1,3.9
MT,5,214.5,1201.3,726.8,51.6,5.6
NY,5,316.4,1628.6,918.1,50.3,5.15
WV,5,254.1,1130.2,687.8,50,4.45
OK,5,115.4,596.6,442.4,48.8,5.17
MS,5,362.4,1642,847.1,48.7,4.53
IN,6,125.5,583.2,309.8,47.8,4.65
NH,6,76.6,407.8,242.9,46.8,5.32
ID,5,229.8,1014.7,615.9,46.7,4.42
WY,5,85.6,361.5,232.1,46,4.22
OH,6,152.8,783.8,459.8,45.9,5.13
MO,5,250.2,1045.6,749.7,45.7,4.18
AZ,5,72.5,285,233.3,43.7,3.93
IA,5,54.1,179.9,134.5,40.4,3.33
SD,5,11,38.2,28,38.1,3.47
AL,5,378.4,1245.7,854.4,37.4,3.29
ME,5,523.2,1170.8,608,36.9,2.24
AR,5,289.4,885.5,759,35.9,3.06
KS,5,41.8,127.6,84.7,35.6,3.05
LA,5,276.1,780.2,569.3,35.1,2.83
TN,5,258,825,727.3,34.7,3.2
WI,5,581.3,1236.6,636.1,34.7,2.13
TX,5,339.1,1028.9,921.2,33.6,3.03
FL,5,276.1,662.7,504,31.9,2.4
MN,5,387.2,837.9,501.9,31.9,2.16
VT,5,180.9,392.1,277,31.6,2.17
IL,5,111.7,275.5,230.4,30.6,2.47
MD,5,70.5,150.8,120.5,27.7,2.14
PA,4,635.6,1169.3,897.2,25.1,1.84
MI,5,716.6,1160.7,852.5,20.3,1.62
NC,4,782.7,1057.6,820,14.9,1.35
SC,4,479.9,660.8,532.2,14.1,1.38
GA,4,834,1044.8,1000.5,9.6,1.25
DE,4,16,19.8,18.8,8.9,1.24
VA,4,752.1,879.1,818.5,7.5,1.17
