iter,candidate,tag,negLL,ANPP_DF,ANPP_WH,ANPP_WC,ANPP_PSF,ANPP_GF,ANPP_NF,ANPP_SS,ANPP_ES,ANPP_AF,ANPP_WF,ANPP_LP,ANPP_PP,ANPP_WP,ANPP_WBP,ANPP_MH,ANPP_WL,ANPP_IC,ANPP_PY,ANPP_BM,ANPP_RA,ANPP_PM,ANPP_PB,ANPP_QA,ANPP_BCW,ANPP_GO,BMAX_DF,BMAX_WH,BMAX_WC,BMAX_PSF,BMAX_GF,BMAX_NF,BMAX_SS,BMAX_ES,BMAX_AF,BMAX_WF,BMAX_LP,BMAX_PP,BMAX_WP,BMAX_WBP,BMAX_MH,BMAX_WL,BMAX_IC,BMAX_PY,BMAX_BM,BMAX_RA,BMAX_PM,BMAX_PB,BMAX_QA,BMAX_BCW,BMAX_GO
0,0,wa_t2_v1_iter0_cand0,348.50,0.4513,0.5114,0.3996,0.5496,0.5555,0.4138,0.4473,0.4437,0.4780,0.5217,0.5100,0.5154,0.4828,0.4545,0.4394,0.5270,0.4447,0.5567,0.5293,0.5115,0.5260,0.4475,0.5257,0.5046,0.4023,0.4878,0.5043,0.6668,0.4627,0.3949,0.5026,0.4886,0.5999,0.4101,0.4117,0.4809,0.4799,0.6438,0.5823,0.4979,0.4976,0.4888,0.5383,0.4629,0.4219,0.5879,0.3644,0.4695,0.4667,0.5028
0,1,wa_t2_v1_iter0_cand1,348.52,0.3931,0.4137,0.4046,0.4761,0.5847,0.6187,0.4075,0.5970,0.4563,0.4658,0.4425,0.4918,0.4241,0.3903,0.5387,0.4741,0.6931,0.4809,0.4764,0.4324,0.4606,0.4492,0.6363,0.4426,0.5418,0.4209,0.5019,0.5639,0.4863,0.4746,0.6578,0.4522,0.4720,0.4612,0.5943,0.6271,0.5575,0.4754,0.5405,0.6001,0.5752,0.5560,0.5078,0.4250,0.5304,0.5265,0.4325,0.6089,0.3932,0.5851
0,2,wa_t2_v1_iter0_cand2,368.70,0.4563,0.4696,0.4431,0.4997,0.7759,0.6091,0.5312,0.5371,0.4681,0.5704,0.5811,0.5407,0.5262,0.4981,0.4280,0.5397,0.4309,0.4724,0.7145,0.4335,0.6341,0.5343,0.4678,0.5080,0.4535,0.5710,0.4985,0.3888,0.4563,0.4152,0.5128,0.4309,0.6062,0.4247,0.4758,0.5894,0.3823,0.4852,0.5112,0.4430,0.4982,0.6175,0.4590,0.4577,0.4631,0.5195,0.4759,0.4505,0.3333,0.4953
0,3,wa_t2_v1_iter0_cand3,434.90,0.5579,0.6131,0.4107,0.4754,0.5312,0.7540,0.4550,0.4154,0.4419,0.4095,0.6404,0.6376,0.5879,0.5090,0.4771,0.4832,0.5775,0.5059,0.4856,0.5432,0.4873,0.4665,0.5294,0.4429,0.6578,0.5000,0.5618,0.5106,0.5784,0.4205,0.4799,0.5870,0.5325,0.5079,0.5538,0.4324,0.5597,0.4547,0.5308,0.4071,0.5544,0.4340,0.5454,0.5593,0.4770,0.4870,0.4441,0.5375,0.4997,0.4560
0,4,wa_t2_v1_iter0_cand4,304.83,0.4057,0.5132,0.6475,0.4187,0.5378,0.4982,0.5661,0.5789,0.5570,0.5811,0.4376,0.4967,0.4338,0.5572,0.5295,0.5785,0.5902,0.4282,0.4347,0.5882,0.4160,0.5634,0.5488,0.5811,0.4511,0.4709,0.4906,0.6690,0.4475,0.5350,0.5782,0.5258,0.4653,0.6021,0.3900,0.3724,0.4573,0.4932,0.5049,0.5203,0.5024,0.5126,0.4880,0.4605,0.4685,0.4510,0.5419,0.5729,0.4967,0.4383
0,5,wa_t2_v1_iter0_cand5,367.77,0.4136,0.4590,0.3632,0.7119,0.5441,0.5969,0.4913,0.3644,0.4276,0.4623,0.5375,0.4332,0.6768,0.5400,0.3615,0.4349,0.5547,0.4528,0.4675,0.6101,0.4480,0.4871,0.4068,0.4223,0.4837,0.4894,0.5537,0.3739,0.4521,0.5301,0.5800,0.4007,0.5277,0.4973,0.4055,0.5130,0.4195,0.5588,0.5179,0.4705,0.5315,0.4362,0.4721,0.4683,0.3848,0.6422,0.4534,0.5360,0.5328,0.5111
0,6,wa_t2_v1_iter0_cand6,102.49,0.4922,0.6086,0.4398,0.5208,0.6610,0.4270,0.4579,0.3993,0.5143,0.5116,0.5040,0.4905,0.5603,0.4453,0.6621,0.5209,0.4825,0.4800,0.4664,0.5264,0.5348,0.4602,0.5608,0.4466,0.4274,0.4973,0.4486,0.5396,0.6371,0.3528,0.5856,0.4858,0.5723,0.4961,0.4990,0.5433,0.5697,0.5458,0.6431,0.6274,0.6352,0.4280,0.4577,0.3972,0.5628,0.4846,0.3682,0.4101,0.6099,0.3358
0,7,wa_t2_v1_iter0_cand7,393.60,0.6317,0.6219,0.4367,0.5077,0.4352,0.4978,0.3600,0.4581,0.4029,0.4668,0.4515,0.5380,0.5674,0.5146,0.5191,0.4761,0.4479,0.4065,0.5198,0.4919,0.4510,0.5032,0.5695,0.5811,0.4532,0.6433,0.5226,0.4777,0.5834,0.4415,0.5056,0.4481,0.4748,0.4626,0.3568,0.5235,0.4725,0.3834,0.4155,0.4779,0.5362,0.4016,0.5324,0.6110,0.4828,0.5034,0.6198,0.5542,0.5293,0.5575
0,8,wa_t2_v1_iter0_cand8,326.16,0.4217,0.6176,0.5171,0.4373,0.4807,0.5431,0.4750,0.3987,0.5373,0.4768,0.4778,0.5193,0.5852,0.4733,0.5832,0.5364,0.4633,0.4513,0.5726,0.4218,0.5494,0.5402,0.7365,0.4255,0.4032,0.3426,0.5537,0.7771,0.5513,0.4186,0.5391,0.4306,0.3549,0.3573,0.6026,0.4610,0.4964,0.5251,0.4451,0.4646,0.4870,0.5627,0.5835,0.6091,0.4179,0.5445,0.4533,0.5128,0.4626,0.4939
0,9,wa_t2_v1_iter0_cand9,240.42,0.4525,0.5624,0.5103,0.4762,0.4557,0.3930,0.4498,0.5168,0.3801,0.4721,0.4644,0.4976,0.5633,0.4893,0.4212,0.4475,0.5086,0.4999,0.5325,0.5895,0.5453,0.5691,0.6843,0.5413,0.4813,0.3777,0.4376,0.4626,0.5928,0.5314,0.3922,0.5223,0.4286,0.6742,0.6396,0.4859,0.5353,0.6396,0.4502,0.5518,0.3938,0.4936,0.5656,0.5700,0.5233,0.5233,0.5491,0.6047,0.3863,0.5023
0,10,wa_t2_v1_iter0_cand10,439.37,0.4771,0.4085,0.5377,0.4998,0.4591,0.4300,0.5145,0.5750,0.3929,0.4533,0.6757,0.5550,0.6343,0.4593,0.5211,0.5703,0.6134,0.5454,0.4817,0.3867,0.4017,0.5046,0.4589,0.5813,0.5873,0.4357,0.3959,0.5205,0.4004,0.5456,0.5487,0.4410,0.5512,0.4885,0.5447,0.5595,0.6076,0.4424,0.4318,0.4423,0.6388,0.3847,0.5533,0.4392,0.4721,0.4937,0.5420,0.5496,0.4251,0.5757
0,11,wa_t2_v1_iter0_cand11,333.73,0.5526,0.5481,0.4960,0.4660,0.5244,0.5737,0.4215,0.5304,0.4627,0.5170,0.4602,0.6229,0.4644,0.6361,0.4424,0.5394,0.4782,0.4730,0.5053,0.5513,0.5612,0.5669,0.6298,0.3872,0.4664,0.5353,0.6450,0.4097,0.5831,0.4871,0.4317,0.4681,0.4378,0.6594,0.5661,0.6362,0.4995,0.5194,0.4409,0.4803,0.5978,0.4755,0.7858,0.5324,0.5550,0.4333,0.4553,0.4735,0.5766,0.6446
0,12,wa_t2_v1_iter0_cand12,325.91,0.5005,0.4942,0.3959,0.6534,0.4136,0.4435,0.5241,0.4720,0.4704,0.5465,0.5681,0.5208,0.5254,0.5029,0.4420,0.4714,0.3963,0.4534,0.4671,0.4209,0.5285,0.5141,0.3399,0.4257,0.4675,0.4386,0.5766,0.4382,0.5532,0.7769,0.4517,0.4982,0.5289,0.4863,0.6173,0.5906,0.4157,0.4594,0.5197,0.5141,0.5627,0.4979,0.5938,0.5123,0.5803,0.5429,0.5275,0.4294,0.5427,0.4545
