plot_id,plt_cn,eco
20002,64732237010661,51
20011,65002538010661,51
20011,64920325010661,51
20011,64750278010661,50
20011,64902159010661,49
20015,64946295010661,50
20029,65023650010661,50
20036,64824622010661,50
20036,65119744010661,52
20037,64756188010661,50
20041,65004450010661,50
20041,64747273010661,50
20042,64826100010661,50
20044,64736151010661,52
20048,64736564010661,52
20055,64782969010661,48
20056,64971125010661,50
20062,64751333010661,50
20062,64795647010661,51
20063,64740511010661,47
20064,64801843010661,50
20067,64899425010661,49
20070,65005948010661,50
20071,64732891010661,51
20071,65107957010661,51
20079,64912323010661,51
20080,64975720010661,50
20083,64788397010661,50
20096,65031506010661,49
20097,64808875010661,50
20098,64786022010661,52
20100,64831532010661,48
20100,65017810010661,49
20105,64796458010661,51
20106,64918324010661,50
20114,64919809010661,50
20114,64737162010661,52
20115,64973325010661,50
20115,64999739010661,50
20123,64902965010661,49
20128,64829092010661,51
20131,64946557010661,50
20134,65115359010661,51
20135,64735693010661,52
20137,64946927010661,50
20143,64783563010661,51
20150,64912018010661,51
20160,65029853010661,49
20160,64769662010661,50
20161,64985204010661,50
20164,64899017010661,49
20166,65025994010661,47
20168,64914103010661,47
20171,64932539010661,50
20172,65002831010661,51
20175,64944476010661,50
20176,64931968010661,50
20177,65015556010661,49
20177,64778122010661,50
20178,64971684010661,50
20178,64990259010661,50
20184,64997539010661,50
20201,64772662010661,50
20206,64741792010661,51
20208,65109444010661,51
20210,64941855010661,51
20224,64929724010661,50
20237,64980673010661,52
20237,65009737010661,51
20238,65113712010661,47
20242,64940321010661,50
20253,64778915010661,50
20255,64738289010661,52
20258,64790122010661,50
20265,64905232010661,49
20270,64776212010661,51
20280,64987316010661,50
20280,65116458010661,50
20288,64914782010661,47
20288,64924786010661,50
20288,64895506010661,49
20290,64742215010661,48
20293,64899683010661,49
20295,64830131010661,51
20298,64758788010661,48
20320,64744156010661,48
20324,64919017010661,50
20331,64917854010661,50
20332,64763288010661,51
20334,65000807010661,50
20339,64792430010661,50
20343,64978217010661,51
20344,64974036010661,50
20365,65032332010661,49
20368,65110937010661,51
20372,64814984010661,50
20372,64972062010661,50
20388,65016287010661,49
20391,64968915010661,50
20400,64772818010661,50
20401,64772090010661,50
20404,64822611010661,50
20404,64901823010661,49
20405,64751000010661,50
20407,64766693010661,50
20432,64898347010661,49
20433,64780858010661,48
20434,64945058010661,50
20446,64987430010661,50
20453,65115870010661,51
20464,64987957010661,50
20466,65003634010661,50
20467,65005030010661,50
20484,65007183010661,51
20496,65112109010661,51
20498,64967397010661,50
20515,64791733010661,50
20516,64906298010661,49
20522,64894923010661,49
20543,64968491010661,50
20552,64985901010661,50
20558,64971255010661,50
20560,64753564010661,50
20566,64991571010661,50
20573,64777483010661,50
20587,64812933010661,50
20598,64924329010661,50
20600,64923563010661,50
20631,64823700010661,50
20647,64983704010661,50
20649,64809619010661,50
20650,64742786010661,48
20659,64763819010661,51
20666,64897788010661,49
20670,64990618010661,50
20705,65019504010661,49
20731,65006502010661,50
20736,65021735010661,50
20739,64780200010661,48
20751,64769327010661,50
20758,64798616010661,50
20760,64996114010661,50
20769,64927046010661,50
20787,64910404010661,49
20799,64812049010661,50
20810,65020536010661,50
20811,64934363010661,50
20861,64801099010661,49
20862,65019883010661,50
20868,64988077010661,50
20945,64931327010661,50
20951,64926540010661,50
20955,64803377010661,50
20975,65002116010661,50
21001,64965246010661,50
21002,64991876010661,50
21015,64821445010661,50
21019,64986730010661,50
21019,64816674010661,50
21032,64922561010661,50
21041,64934210010661,50
21055,65012280010661,49
21056,64910819010661,50
21057,64926017010661,50
21067,64961626010661,50
21079,64958698010661,50
21095,64956255010661,50
21109,64810821010661,50
21154,64820396010661,50
21169,64806747010661,50
21180,64958254010661,50
21180,64817075010661,50
21203,64947885010661,50
21230,64954126010661,50
21245,64964406010661,50
21260,64955700010661,50
21270,64800022010661,50
21273,64799219010661,50
21288,64908230010661,50
21294,64965672010661,50
21295,64954886010661,50
21357,64798260010661,50
21386,64949248010661,50
21426,65022817010661,50
21432,65021269010661,50
21500,64955429010661,50
22001,64854537010661,49
22010,64860002010661,49
22023,64870097010661,49
22055,64846275010661,49
22111,64865333010661,49
22314,64838768010661,49
22395,64865823010661,49
22405,64859061010661,49
22505,64868455010661,49
22726,64867401010661,49
22747,64834703010661,49
22891,64833948010661,49
22958,64833434010661,49
22965,64835014010661,49
22973,64837584010661,49
23086,64838321010661,50
23189,64851626010661,49
23326,64850455010661,49
23397,64862937010661,49
23426,64836717010661,49
23611,64840636010661,49
23632,64836598010661,49
23718,64848764010661,49
24351,64875888010661,50
24428,64876753010661,50
24516,64882049010661,50
24546,64875615010661,50
24555,64874585010661,50
24594,64886311010661,50
25064,65094422010661,50
25256,65058014010661,49
25385,65089272010661,50
25422,65089801010661,50
25481,65047520010661,50
25506,65036312010661,50
25687,65035223010661,50
25732,65105306010661,50
25743,65069770010661,50
25777,65042517010661,50
25809,65070079010661,49
25825,65035864010661,50
26021,65087224010661,50
26041,65033932010661,50
26070,65067759010661,49
26138,65099925010661,50
26222,65061863010661,50
26225,65095504010661,50
26226,65102026010661,49
26291,65040518010661,50
26480,65103909010661,50
26511,65100240010661,50
26532,65085691010661,50
26603,65074068010661,50
26667,65070835010661,50
26688,65039477010661,50
26749,65098825010661,50
26769,65064748010661,50
26808,65048247010661,50
26990,65093200010661,50
27043,65037872010661,50
27151,65077898010661,50
27206,65077158010661,50
27208,65032803010661,50
27227,65091691010661,50
27272,65099266010661,50
27287,65038548010661,50
27336,65097768010661,50
27337,65068543010661,50
27420,65105551010661,50
27454,65041446010661,50
27501,65044780010661,50
27671,65101429010661,50
27702,65079780010661,50
27837,65100599010661,50
28578,65099561010661,50
28735,65086161010661,50
28879,65034325010661,50
29005,64871619010661,50
29012,64884137010661,50
29021,64933292010661,50
29030,64888515010661,50
29055,65045611010661,50
29063,65093878010661,50
29063,64876496010661,50
29066,64797997010661,50
29070,64887436010661,50
29074,64813682010661,50
29089,64959180010661,50
29115,64818990010661,49
29128,64935108010661,50
29133,64873339010661,50
29137,64894106010661,50
29138,64806574010661,50
29147,64957602010661,50
29153,64960876010661,50
29178,65075424010661,50
29189,64951439010661,50
29202,64892288010661,50
29203,64802651010661,49
29241,64952266010661,50
29249,64966322010661,50
29249,64877627010661,50
29253,64872509010661,50
29263,64956862010661,50
29273,64964013010661,50
29275,64880599010661,50
29307,64877721010661,50
29356,64872944010661,50
29360,64963106010661,50
29380,64885042010661,50
29395,64882446010661,50
29444,64874115010661,50
29463,65048985010661,50
29476,65043994010661,50
29591,65049711010661,50
10339,92339063010661,51
10506,68702186010661,50
10507,92243731010661,50
10580,68852504010661,50
10622,68894279010661,50
11147,68655291010661,50
11647,92227140010661,49
20001,68775954010661,49
20002,65219482010661,52
20002,65943719010661,50
20003,68647834010661,50
20003,68694457010661,51
20003,65206913010661,48
20004,65355300010661,51
20004,68685527010661,51
20005,68750172010661,48
20005,65163582010661,50
20005,92628590010661,48
20005,65048824010661,52
20005,65971925010661,50
20006,65950945010661,50
20006,65772171010661,52
20006,65244177010661,52
20006,64796672010661,50
20007,68744001010661,50
20007,65577447010661,50
20007,65849401010661,50
20008,65127167010661,48
20008,65725006010661,51
20008,65844776010661,51
20008,65906499010661,50
20008,66074607010661,49
20009,68790997010661,50
20010,65257531010661,50
20010,65123172010661,50
20011,65766072010661,47
20011,65845196010661,46
20013,65869297010661,52
20013,65579589010661,50
20015,92348682010661,51
20018,65882734010661,50
20019,65996095010661,51
20020,65147227010661,50
20020,65121287010661,50
20020,65950781010661,50
20020,65215359010661,50
20020,65351359010661,49
20021,68662534010661,51
20021,68808923010661,50
20022,68865560010661,51
20022,65744015010661,51
20023,65187250010661,50
20023,65838528010661,51
20024,66058223010661,52
20025,65316620010661,47
20025,65177649010661,50
20025,64936933010661,51
20025,65123714010661,50
20025,65746020010661,48
20025,65777940010661,50
20025,65768623010661,51
20026,68643033010661,50
20026,65782164010661,51
20026,65867744010661,52
20026,65579858010661,50
20027,68835102010661,50
20027,65245738010661,51
20029,65849821010661,50
20029,65068269010661,51
20029,65353476010661,49
20029,65780435010661,50
20030,65852981010661,50
20030,65767367010661,50
20031,65867431010661,52
20031,65988375010661,50
20031,65237420010661,51
20031,68646188010661,50
20032,68676804010661,50
20032,65772293010661,52
20032,65758273010661,51
20032,65779826010661,50
20033,68849623010661,50
20033,68661095010661,51
20034,65996507010661,51
20034,66074459010661,49
20034,65887518010661,48
20035,65163916010661,50
20035,65256801010661,50
20036,68864117010661,50
20037,65995298010661,51
20037,68856200010661,50
20037,65862093010661,51
20039,65769637010661,51
20040,92653403010661,51
20040,65267066010661,48
20041,65860043010661,50
20041,65720017010661,52
20041,65102316010661,50
20042,68890674010661,51
20043,65873209010661,50
20043,65078772010661,50
20044,68790567010661,48
20044,65804261010661,51
20044,65809012010661,50
20045,65070479010661,51
20045,65848321010661,50
20045,65587463010661,51
20046,65274614010661,51
20046,65937729010661,50
20046,65051693010661,52
20047,65220679010661,51
20047,68846200010661,52
20047,65798394010661,50
20047,68661343010661,51
20048,68648328010661,50
20048,65242753010661,52
20053,65989597010661,50
20053,65933543010661,50
20053,65997143010661,51
20053,66083732010661,50
20055,65199586010661,51
