PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_1997_Mgha,BIOM_1998_Mgha,BIOM_1999_Mgha,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha
1,56644104010478,1997,31.443193,-84.547019,37,6,175.321,,,,189.209,,,,,198.967,,,,,212.073,,,,,226.254,,,,,202.599,,,
1,56792910010478,1997,34.05369,-82.908479,105,6,99.415,,,,,139.744,,,,,149.881,,,,,171.637,,,,,199.984,,,,,242.207,,
1,56909192010478,1997,34.512988,-83.81947,311,6,278.711,,,,301.643,,,,,313.319,,,,,304.828,,,,,349.768,,,,,383.003,,,
1,56747821010478,1997,34.30812,-83.112604,119,6,48.813,,,,,27.954,,,,,26.472,,,,,31.91,,,,,27.541,,,,,35.897,,
1,216089194010854,1997,34.825389,-83.659192,281,6,135.603,,,,,132.636,,,,,138.539,,,,,167.986,,,,,197.69,,,,,209.166,,
1,56627186010478,1997,30.682448,-83.427564,27,6,107.398,116.167,,,,,,,118.882,,,,,112.059,,,,,111.61,,,,,124.88,,,,
1,56691922010478,1997,32.978912,-83.935962,207,6,74.411,,93.879,,,,,,,,121.777,,,,,168.812,,,,,205.452,,,,,234.91,,
1,56790508010478,1997,32.21955,-81.285524,103,6,105.198,,,120.508,,,,,134.515,,,,,154.21,,,,,181.312,,,,,196.293,,,,
1,56911129010478,1997,34.747463,-85.024808,313,6,171.212,,,174.762,,,,,207.258,,,,,232.949,,,,,249.32,,,,,246.077,,,,
1,56820515010478,1997,34.698374,-85.520777,83,6,244.613,255.493,,,,,,,,,,282.765,,,,,320.276,,,,,333.111,,,,,375.608,
1,56735074010478,1997,32.315755,-83.843421,153,6,57.548,,,,,,113.623,,,,,137.142,,,,,140.826,,,,,176.954,,,,,192.358,
1,56650031010478,1997,32.489423,-82.146645,43,6,27.951,,55.383,,,,,,,,,,87.382,,,,,114.727,,,,,168.319,,,,,146.135
1,56576957010478,1997,33.241105,-83.487841,237,6,46.469,,,,,,66.404,,,,,70.445,,,,,86.995,,,,,47.473,,,,,73.806,
2,56838411010478,1997,32.004851,-81.099491,51,6,65.5,,,,103.146,,,,,115.281,,,,,118.224,,,,,114.766,,,,,125.111,,,
2,56699563010478,1997,34.59751,-84.684917,213,6,180.033,,,,,217.877,,,,,225.229,,,,,233.969,,,,,238.012,,,,,262.896,,
2,56704206010478,1997,33.78386,-83.233333,221,6,155.63,,,160.128,,,,,158.318,,,,,172.851,,,,,191.227,,,,,189.333,,,,
2,56673520010478,1997,33.035083,-84.208436,171,6,85.74,,103.547,,,,,,,,153.838,,,,,186.002,,,,,197.887,,,,,227.166,,
2,56583341010478,1997,34.825662,-83.348818,241,6,257.446,,,,,306.72,,,,,313.855,,,,,271.686,,,,,297.807,,,,,319.675,,
2,56822204010478,1997,34.427917,-84.129687,85,6,208.833,,,,227.134,,,,,234.05,,,,,251.175,,,,,270.684,,,,,293.763,,,
2,56694572010478,1997,32.309124,-82.429181,209,6,89.354,103.353,,,,,,,,131.801,,,,,139.47,,,,,167.265,,,,,174.734,,,
2,56747695010478,1997,34.432149,-83.183279,119,6,178.413,189.232,,,,,,,,,211.726,,,,,238.613,,,,,293.741,,,,,342.96,,
2,56635321010478,1997,32.51103,-81.642616,31,6,224.025,,,,,213.654,,,,,216.48,,,,,210.679,,,,,204.229,,,,,231.421,,
2,56690605010478,1997,32.862425,-83.998858,207,6,10.256,,,,35.638,,,,,54.422,,,,,76.158,,,,,105.744,,,,,134.561,,,
2,56884880010478,1997,32.469163,-83.262131,23,6,55.509,,,,68.072,,,,,76.264,,,,,78.412,,,,,103.039,,,,,135.297,,,
2,56604954010478,1997,31.751272,-81.778182,183,6,129.428,,130.356,,,,,,,104.084,,,,,111.07,,,,,107.006,,,,,132.747,,,
2,56662349010478,1997,33.054281,-82.417897,163,6,249.558,,,,,,291.065,,,,,319.619,,,,,312.121,,,,,364.564,,,,,413.201,
2,216089205010854,1997,34.602997,-84.164448,187,6,184.72,194.666,,,,,,,,,,,212.165,,,,,237.678,,,,,275.629,,,,,279.3
2,56573088010478,1997,33.090439,-84.483008,231,6,98.358,,,,,,157.963,,,,,169.382,,,,,174.162,,,,,180.453,,,,,203.808,
2,216089203010854,1997,34.743717,-83.779002,311,6,235.726,,,,,,,273.48,,,,,292.961,,,,,290.305,,,,,279.391,,,,,307.879
2,56568516010478,1997,34.501602,-84.339412,227,6,123.234,,,,,,,159.476,,,,,180.428,,,,,186.084,,,,,214.653,,,,,231.789
2,56712191010478,1997,33.783659,-84.036874,135,6,160.691,,,,,,176.03,,,,,194.944,,,,,210.243,,,,,260.531,,,,,285.308,
2,56813160010478,1997,33.312954,-84.819636,77,6,137.338,,,,,,184.78,,,,,213.142,,,,,232.267,,,,,246.237,,,,,302.821,
2,56729002010478,1997,34.315816,-83.080099,147,6,26.167,,,,,,30.364,,,,,35.976,,,,,46.333,,,,,59.898,,,,,60.036,
2,56805253010478,1997,31.529357,-82.669291,69,6,28.145,15.004,,,,,,,,,,72.411,,,,,91.135,,,,,134.046,,,,,141.603,
2,56962779010478,1997,31.858436,-82.060343,267,6,83.954,,90.521,,,,,,,,,,110.852,,,,,118.912,,,,,136.584,,,,,150.609
2,56575630010478,1997,32.14074,-83.55467,235,6,151.268,,,173.668,,,,,179.972,,,,,191.356,,,,,177.348,,,,,191.571,,,,
