PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_1997_Mgha,BIOM_1998_Mgha,BIOM_1999_Mgha,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha
1,128295214010478,1997,34.84686,-84.506603,123,6,311.24,,318.27,,,,,,,,,,317.627,,,,,342.011,,,,,193.579,,,,,213.095
2,128295296010478,1997,34.813319,-84.633206,213,6,199.903,,219.77,,,,,,,,,,240.561,,,,,256.458,,,,,171.898,,,,,194.317
3,173673254010854,1997,32.833207,-81.44819,251,6,116.839,,124.55,,,,,,,,,238.641,,,,,269.012,,,,,351.719,,,,,405.607,
4,173673255010854,1997,32.108457,-82.896326,309,6,147.413,140.926,,,,,,,,,,,183.57,,,,,187.652,,,,,180.144,,,,,178.908
5,173673256010854,1997,33.643547,-82.385713,73,6,174.119,,,,,,,186.31,,,,,216.018,,,,,240.051,,,,,233.928,,,,,289.883
6,173673257010854,1997,33.657251,-83.594218,211,6,206.558,,221.165,,,,,,,,,,178.292,,,,,193.69,,,,,123.876,,,,,98.559
7,173673258010854,1997,34.931395,-85.240536,47,6,130.137,,138.476,,,,,,,,,93.412,,,,,111.23,,,,,113.899,,,,,118.621,
8,216089188010854,1997,30.781272,-82.377634,299,6,20.263,,,,,,,88.88,,,,,74.824,,,,,54.563,,,,,61.478,,,,,70.133
9,216089189010854,1997,31.055414,-82.249718,299,6,68.665,,183.149,,,,,,166.788,,,,,178.782,,,,,174.688,,,,,193.921,,,,
10,216089190010854,1997,30.935804,-82.472413,299,6,20.23,,,,,,,66.394,,,,,50.417,,,,,51.41,,,,,52.718,,,,,53.479
11,216089191010854,1997,32.837907,-83.615675,21,6,175.856,,188.158,,,,,,194.884,,,,,219.168,,,,,189.773,,,,,210.054,,,,
12,216089192010854,1997,34.964176,-84.505692,111,6,244.615,245.759,,,,,,,,,,264.605,,,,,275.034,,,,,305.573,,,,,338.133,
13,216089193010854,1997,34.647392,-84.186149,111,6,183.797,,183.541,,,,,,,,,210.083,,,,,227.325,,,,,253.361,,,,,284.944,
14,216089194010854,1997,34.825389,-83.659192,281,6,135.603,,,,,132.636,,,,,138.539,,,,,167.986,,,,,197.69,,,,,209.166,,
15,216089195010854,1997,34.966677,-83.66249,281,6,177.947,,,,,,,191.644,,,,,150.721,,,,,45.176,,,,,44.874,,,,,61.958
16,216089196010854,1997,34.751862,-84.69982,213,5,92.113,84.144,,,,,,,,,,,,,,,,95.917,,,,,105.332,,,,,127.565
17,216089197010854,1997,34.934477,-84.633207,213,5,170.284,,,,,,168.299,,,,,187.703,,,,,203.398,,,,,119.973,,,,,,
18,216089198010854,1997,34.88745,-84.640263,213,6,172.625,,,,,,,202.182,,,,,212.238,,,,,228.12,,,,,236.509,,,,,132.64
19,216089199010854,1997,30.715384,-82.139786,49,5,48.731,145.311,,,,,,,,,166.126,,,,,,,,,,40.604,,,,,41.254,,
20,216089200010854,1997,34.740487,-84.3564,123,6,159.05,179.352,,,,,,,,200.064,,,,,209.831,,,,,235.218,,,,,248.565,,,
21,216089201010854,1997,34.770809,-84.298385,123,6,217.725,215.951,,,,,,,,,255.542,,,,,273.142,,,,,298.311,,,,,314.418,,
22,216089202010854,1997,34.986456,-83.520098,241,6,296.544,,,,,,,283.511,,,,,320.863,,,,,340.673,,,,,374.183,,,,,379.354
23,216089203010854,1997,34.743717,-83.779002,311,6,235.726,,,,,,,273.48,,,,,292.961,,,,,290.305,,,,,279.391,,,,,307.879
24,216089204010854,1997,34.795691,-83.742987,311,6,137.943,,,143.159,,,,,140.65,,,,,154.363,,,,,177.596,,,,,199.697,,,,
25,216089205010854,1997,34.602997,-84.164448,187,6,184.72,194.666,,,,,,,,,,,212.165,,,,,237.678,,,,,275.629,,,,,279.3
26,216089206010854,1997,34.822611,-83.79829,291,6,138.459,,144.681,,,,,,,,142.769,,,,,165.487,,,,,199.843,,,,,213.889,,
27,216089648010854,1997,30.798998,-82.371957,49,2,7.458,39.117,,,,,,,,,,,,,,,,,,,,,,,,,,
28,216089678010854,1997,34.542838,-85.281299,55,2,94.244,,78.659,,,,,,,,,,,,,,,,,,,,,,,,,
29,216089907010854,1997,32.066131,-83.665065,93,2,174.799,,200.025,,,,,,,,,,,,,,,,,,,,,,,,,
30,216090038010854,1997,34.925677,-84.184577,111,2,310.284,,,,343.214,,,,,,,,,,,,,,,,,,,,,,,
31,216090105010854,1997,34.508261,-84.697347,129,2,110.015,,,104.468,,,,,,,,,,,,,,,,,,,,,,,,
32,216090236010854,1997,33.182203,-83.668124,159,2,162.323,,188.222,,,,,,,,,,,,,,,,,,,,,,,,,
33,216090412010854,1997,34.714486,-83.970586,187,2,128.056,,,,122.543,,,,,,,,,,,,,,,,,,,,,,,
34,216090536010854,1997,34.808814,-84.812802,213,2,112.896,,,,133.612,,,,,,,,,,,,,,,,,,,,,,,
35,216090614010854,1997,34.762118,-83.498952,241,2,88.586,,,,,94.61,,,,,,,,,,,,,,,,,,,,,,
