UID,PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_1997_Mgha,BIOM_1998_Mgha,BIOM_1999_Mgha,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha
1,1,128295214010478,1997,34.84686,-84.506603,123,6,311.24,,318.27,,,,,,,,,,317.627,,,,,342.011,,,,,193.579,,,,,213.095
211,211,56589078010478,1997,33.713604,-83.97839,247,6,171.406,162.092,,,,,,,207.043,,,,,216.349,,,,,180.192,,,,,223.476,,,,
459,459,56630732010478,1997,32.123688,-81.420234,29,6,58.837,,,70.658,,,,,91.079,,,,,108.937,,,,,117.756,,,,,136.887,,,,
799,799,56687662010478,1997,31.171437,-84.722774,201,6,267.792,,,,164.236,,,,,168.299,,,,,181.593,,,,,185.856,,,,,153.443,,,
991,991,56723786010478,1997,33.84524,-85.144611,143,6,57.426,57.803,,,,,,,80.358,,,,,77.795,,,,,96.464,,,,,120.004,,,,
1148,1148,56748372010478,1997,34.329649,-83.268836,119,6,204.766,,,,,,140.585,,,,,165.556,,,,,186.968,,,,,196.439,,,,,173.9,
1402,1402,56791952010478,1997,34.097735,-82.76049,105,6,68.176,,,,66.851,,,,,84.155,,,,,97.897,,,,,119.519,,,,,125.176,,,
1620,1620,56827966010478,1997,33.667648,-84.198761,89,6,61.903,64.47,,,,,,,,88.543,,,,,110.272,,,,,155.311,,,,,183.626,,,
1909,1909,56880039010478,1997,31.398599,-84.554625,7,6,177.893,162.254,,,,,,,,164.497,,,,,159.164,,,,,122.513,,,,,118.475,,,
2209,2209,56934308010478,1997,32.635116,-83.375391,289,6,41.834,,,,25.114,,,,,28.109,,,,,44.796,,,,,37.952,,,,,30.88,,,
