PLOT,FIA_PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha,BIOM_2025_Mgha
1,20001,64384995010661,2001,45.674334,-89.507838,85,5,,73.059,,,,,76.773,,,,,82.23,,,,,,79.775,,,,,,,82.355,
2,20001,64493229010661,2001,44.304924,-88.091899,9,5,,84.126,,,,,90.942,,,,,118.394,,,,,,125.367,,,,,,,124.805,
3,20001,64583239010661,2002,43.372658,-88.016914,89,5,,,9.964,,,,,13.373,,,,,17.834,,,,,,12.841,,,,,,,17.565
4,20002,64393679010661,2001,45.605822,-89.397338,85,5,,180.359,,,,,217.99,,,,,239.508,,,,,,287.718,,,,,,,338.024,
5,20002,64408771010661,2001,43.382044,-87.997542,89,5,,41.457,,,,,41.307,,,,,52.896,,,,,,,56.69,,,,,,,52.253
6,20003,63800546010661,2000,43.365156,-88.040964,89,5,147.907,,,,,141.464,,,,,136.908,,,,,,158.143,,,,,,,125.9,,
7,20003,63869411010661,2001,46.120583,-91.075075,113,5,,21.429,,,,,25.606,,,,,32.361,,,,,,35.002,,,,,,,32.722,
8,20003,64557059010661,2002,45.637059,-89.166001,85,5,,,55.474,,,,,76.566,,,,,103.612,,,,,,124.147,,,,,,,138.758
9,20004,63622817010661,2000,42.611308,-90.06348,65,5,72.557,,,,,83.412,,,,,87.406,,,,,79.103,,,,,,,70.193,,,
10,20005,63839748010661,2000,44.664966,-90.827854,19,5,19.37,,,,,17.843,,,,,26.881,,,,,41.037,,,,,,,53.17,,,
11,20005,63797801010661,2000,44.439725,-88.498533,87,5,137.558,,,,,151.61,,,,,156.02,,,,,,131.501,,,,,,,138.252,,
12,20005,63826287010661,2001,44.408954,-89.832929,141,5,,3.708,,,,,5.799,,,,,6.008,,,,,,10.878,,,,,,,21.243,
13,20005,64113529010661,2001,44.103665,-90.15948,57,5,,68.235,,,,,73.256,,,,,67.583,,,,,,76.397,,,,,,,44.024,
14,20006,63846689010661,2001,42.513759,-88.908016,105,5,,232.572,,,,,245.823,,,,,270.661,,,,,,309.59,,,,,,,368.977,
15,20006,63769152010661,2000,43.148482,-87.921002,79,5,32.372,,,,,39.72,,,,,43.146,,,,,59.295,,,,,,,48.96,,,
16,20006,64338248010661,2001,43.971257,-89.47995,77,5,,212.771,,,,,239.612,,,,,178.209,,,,,,,159.748,,,,,,,188.337
17,20007,63767364010661,2000,45.041717,-88.790882,78,5,136.596,,,,,149.314,,,,,171.571,,,,,,185.204,,,,,,,164.231,,
18,20007,63776537010661,2000,45.301339,-88.417056,83,5,61.59,,,,,84.464,,,,,106.031,,,,,118.205,,,,,,,153.8,,,
19,20007,64542470010661,2001,45.313199,-91.774309,5,5,,40.58,,,,,48.066,,,,,70.005,,,,,,,41.689,,,,,,,85.994
20,20007,64520993010661,2001,44.187857,-88.174933,15,5,,124.281,,,,,139.079,,,,,163.039,,,,,175.587,,,,,,,134.492,,
21,20007,64125056010661,2001,43.975782,-91.01036,63,5,,65.693,,,,,59.441,,,,,57.93,,,,,71.199,,,,,,,141.424,,
22,20007,64662732010661,2002,45.941266,-88.787104,41,5,,,4.063,,,,,4.623,,,,,5.276,,,,,,5.55,,,,,,,5.836
23,20007,64289552010661,2002,43.842906,-89.836574,1,5,,,139.395,,,,,152.505,,,,,162.243,,,,,,92.348,,,,,,,104.298
24,20008,63671000010661,2000,45.882393,-88.513627,37,5,71.815,,,,,83.881,,,,,108.154,,,,,130.819,,,,,,,125.334,,,
25,20008,64254165010661,2001,45.692204,-88.83686,41,5,,123.076,,,,,122.349,,,,,115.183,,,,,,108.0,,,,,,,120.336,
26,20009,63872004010661,2000,43.140685,-89.676935,25,5,83.121,,,,,89.385,,,,,113.234,,,,,118.789,,,,,,,125.005,,,
27,20009,64229881010661,2001,45.857029,-88.518236,37,5,,167.181,,,,,172.855,,,,,211.744,,,,,223.653,,,,,,,257.537,,
28,20009,64092396010661,2001,46.13977,-90.042321,51,5,,99.595,,,,,94.495,,,,,97.212,,,,,,89.071,,,,,,,89.568,
29,20010,64410789010661,2001,44.599244,-92.037138,91,5,,114.748,,,,,121.139,,,,,138.736,,,,,,130.517,,,,,,,95.599,
30,20010,64158533010661,2001,45.30099,-90.0224,69,5,,5.014,,,,,14.37,,,,,29.314,,,,,,49.069,,,,,,,76.572,
31,20010,64303695010661,2001,46.797976,-90.722604,3,5,,70.765,,,,,17.453,,,,,15.799,,,,,,10.528,,,,,,,10.23,
32,20010,64312939010661,2001,45.711279,-87.838994,75,5,,45.478,,,,,53.374,,,,,60.203,,,,,,84.704,,,,,,,110.661,
33,20011,64702634010661,2000,46.273538,-90.938548,7,5,89.641,,,,,101.331,,,,,100.205,,,,,,63.374,,,,,,,86.891,,
34,20011,63683870010661,2000,43.19336,-90.380739,49,5,7.042,,,,,17.339,,,,,36.078,,,,,38.197,,,,,,,57.926,,,
35,20011,64271166010661,2001,42.979876,-90.751365,43,5,,11.76,,,,,8.512,,,,,10.876,,,,,,15.064,,,,,,,40.761,
36,20012,64370089010661,2001,45.104862,-88.392087,83,5,,72.084,,,,,92.314,,,,,103.784,,,,,,121.467,,,,,,,143.35,
37,20013,63790774010661,2000,45.505329,-89.058084,85,5,110.243,,,,,123.956,,,,,135.053,,,,,,147.688,,,,,,,172.399,,
38,20013,63668482010661,2000,45.928865,-88.250264,37,5,14.333,,,,,19.399,,,,,25.407,,,,,,34.238,,,,,,,46.901,,
39,20013,64496158010661,2001,44.462537,-91.715277,11,5,,105.357,,,,,125.619,,,,,132.855,,,,,,146.384,,,,,,,160.269,
40,20013,64053234010661,2001,46.075246,-90.978485,113,5,,47.022,,,,,51.683,,,,,65.036,,,,,,79.795,,,,,,,89.556,
41,20014,63842908010661,2001,43.512526,-90.460981,103,5,,54.228,,,,,64.936,,,,,85.815,,,,,,85.655,,,,,,,86.744,
42,20014,64333987010661,2002,45.267279,-90.718938,119,5,,,113.373,,,,,130.862,,,,,136.82,,,,,,145.532,,,,,,,157.569
43,20015,64661557010661,2000,44.868853,-87.290434,29,5,106.05,,,,,125.159,,,,,149.692,,,,,,143.535,,,,,,,95.939,,
44,20015,64562658010661,2001,43.371418,-89.437452,21,5,,254.273,,,,,236.487,,,,,235.449,,,,,,260.019,,,,,,,176.478,
45,20016,64135592010661,2001,45.344189,-89.418818,67,5,,87.607,,,,,89.793,,,,,99.08,,,,,,110.015,,,,,,,113.325,
46,20017,63635358010661,2000,44.318214,-87.885866,71,5,7.578,,,,,19.055,,,,,37.378,,,,,44.978,,,,,,,69.819,,,
47,20017,63698627010661,2000,46.106806,-89.188055,125,5,6.562,,,,,6.42,,,,,10.939,,,,,18.083,,,,,,,19.659,,,
48,20017,63771519010661,2000,43.941556,-90.69052,81,5,45.332,,,,,65.379,,,,,71.895,,,,,64.327,,,,,,,81.816,,,
49,20017,64050713010661,2002,46.141219,-91.15625,113,5,,,212.196,,,,,211.275,,,,,236.991,,,,,,243.267,,,,,,,268.491
50,20018,64649811010661,2002,45.746888,-88.587918,37,5,,,67.586,,,,,64.148,,,,,56.125,,,,,,69.867,,,,,,,67.482
51,20018,63660665010661,2000,46.224032,-91.661517,31,5,70.029,,,,,73.793,,,,,62.982,,,,,,55.023,,,,,,,69.39,,
52,20018,64213673010661,2002,46.637206,-91.249404,7,5,,,65.719,,,,,84.329,,,,,105.479,,,,,,129.495,,,,,,,158.72
53,20018,64105160010661,2002,45.986998,-90.248468,51,5,,,25.077,,,,,34.509,,,,,47.677,,,,,,9.056,,,,,,,10.893
54,20019,64122781010661,2001,44.493116,-87.64064,61,5,,19.35,,,,,25.383,,,,,33.643,,,,,,36.523,,,,,,,51.514,
55,20020,63721748010661,2000,43.502727,-90.486522,103,5,7.083,,,,,22.871,,,,,28.942,,,,,32.926,,,,,,,51.579,,,
56,20020,63644269010661,2000,45.695734,-87.98565,75,5,11.883,,,,,18.754,,,,,27.441,,,,,37.342,,,,,,,51.125,,,
57,20020,63735806010661,2000,46.153434,-91.500662,113,5,106.9,,,,,96.19,,,,,96.541,,,,,,97.366,,,,,,,105.567,,
58,20021,63698734010661,2000,45.988234,-89.08019,125,5,114.287,,,,,116.624,,,,,145.382,,,,,,172.112,,,,,,,199.98,,
59,20022,63787865010661,2000,45.680903,-89.065403,85,5,91.654,,,,,102.965,,,,,113.295,,,,,,135.805,,,,,,,131.913,,
60,20022,64412502010661,2001,44.453377,-92.073554,91,5,,138.297,,,,,157.351,,,,,171.482,,,,,194.829,,,,,,,178.021,,
61,20022,64348588010661,2001,42.875163,-87.927069,79,5,,122.116,,,,,143.054,,,,,159.28,,,,,,,161.98,,,,,,,183.396
62,20022,64243183010661,2001,45.617143,-89.036322,41,5,,87.772,,,,,108.443,,,,,121.767,,,,,,116.949,,,,,,,86.196,
63,20023,64166277010661,2001,44.100345,-87.949216,71,5,,37.813,,,,,45.396,,,,,54.807,,,,,59.951,,,,,,,42.374,,
64,20024,63749742010661,2000,43.856099,-87.820805,117,5,44.42,,,,,56.59,,,,,78.79,,,,,86.064,,,,,,,112.946,,,
