param,value
ANPP_BF,0.900321
ANPP_TAM,0.742267
ANPP_WS,0.580787
ANPP_BS,0.414138
ANPP_RS,0.789998
ANPP_JP,0.630172
ANPP_RP,0.817258
ANPP_WP,0.595212
ANPP_CE,0.662381
ANPP_HE,0.494335
ANPP_RM,0.456170
ANPP_SM,0.738332
ANPP_YB,0.440277
ANPP_PB,0.523467
ANPP_BE,0.787361
ANPP_WAS,0.434520
ANPP_BAS,0.533755
ANPP_QA,0.348195
ANPP_BA,0.754250
ANPP_WO,0.603225
ANPP_RO,0.661736
ANPP_BO,0.524748
ANPP_BSW,0.563886
ANPP_AE,0.748717
BMAX_BF,0.675004
BMAX_TAM,0.544262
BMAX_WS,0.572111
BMAX_BS,0.484078
BMAX_RS,0.689780
BMAX_JP,1.018581
BMAX_RP,0.673425
BMAX_WP,0.639489
BMAX_CE,0.701545
BMAX_HE,0.603413
BMAX_RM,0.676245
BMAX_SM,0.603297
BMAX_YB,0.705906
BMAX_PB,0.424609
BMAX_BE,0.826079
BMAX_WAS,0.415124
BMAX_BAS,0.678264
BMAX_QA,0.439447
BMAX_BA,0.638338
BMAX_WO,0.737449
BMAX_RO,0.631695
BMAX_BO,0.457489
BMAX_BSW,0.632152
BMAX_AE,0.671746
