param,value
ANPP_AE,0.329255
ANPP_BC,0.243302
ANPP_BE,0.368856
ANPP_BG,0.329328
ANPP_BO,0.553817
ANPP_BSW,0.331988
ANPP_CO,0.296387
ANPP_EH,0.293191
ANPP_ERC,0.301111
ANPP_HK,0.422856
ANPP_LL,0.333635
ANPP_LO,0.334864
ANPP_MG,0.374172
ANPP_PO,0.267347
ANPP_RM,0.167460
ANPP_RO,0.238686
ANPP_SL,0.282410
ANPP_SM,0.288553
ANPP_SO,0.263394
ANPP_SP,0.219844
ANPP_SY,0.413049
ANPP_TT,0.258477
ANPP_VP,0.171647
ANPP_WAO,0.382046
ANPP_WAS,0.239274
ANPP_WO,0.403133
ANPP_YB,0.311833
BMAX_AE,0.337134
BMAX_BC,0.404452
BMAX_BE,0.319325
BMAX_BG,0.224570
BMAX_BO,0.297634
BMAX_BSW,0.296349
BMAX_CO,0.373554
BMAX_EH,0.238800
BMAX_ERC,0.298430
BMAX_HK,0.484810
BMAX_LL,0.309146
BMAX_LO,0.173882
BMAX_MG,0.204727
BMAX_PO,0.465339
BMAX_RM,0.313553
BMAX_RO,0.266157
BMAX_SL,0.277144
BMAX_SM,0.361537
BMAX_SO,0.291488
BMAX_SP,0.259825
BMAX_SY,0.316193
BMAX_TT,0.325704
BMAX_VP,0.288368
BMAX_WAO,0.178797
BMAX_WAS,0.446156
BMAX_WO,0.243447
BMAX_YB,0.272185
