model,arm,dom,state,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se,n_matched
FVS,calibrated,01,AL,reserve,2025,558.05,5.692,2043
FVS,calibrated,01,AL,reserve,2050,768.352,7.837,2043
FVS,calibrated,01,AL,reserve,2075,902.348,9.204,2043
FVS,calibrated,01,AL,reserve,2100,856.313,8.734,2043
FVS,calibrated,05,AR,reserve,2025,464.86,4.835,513
FVS,calibrated,05,AR,reserve,2050,713.929,7.425,513
FVS,calibrated,05,AR,reserve,2075,874.086,9.09,513
FVS,calibrated,05,AR,reserve,2100,890.063,9.257,513
FVS,calibrated,04,AZ,reserve,2025,135.23,2.421,223
FVS,calibrated,04,AZ,reserve,2050,234.298,4.194,223
FVS,calibrated,04,AZ,reserve,2075,328.042,5.872,223
FVS,calibrated,04,AZ,reserve,2100,291.04,5.21,223
FVS,calibrated,06,CA,reserve,2025,1002.65,12.032,492
FVS,calibrated,06,CA,reserve,2050,2268.028,27.216,492
FVS,calibrated,06,CA,reserve,2075,3381.756,40.581,492
FVS,calibrated,06,CA,reserve,2100,4249.92,50.999,492
FVS,calibrated,08,CO,reserve,2025,271.63,3.64,11
FVS,calibrated,08,CO,reserve,2050,533.173,7.145,11
FVS,calibrated,08,CO,reserve,2075,779.071,10.44,11
FVS,calibrated,08,CO,reserve,2100,956.909,12.823,11
FVS,calibrated,09,CT,reserve,2025,64.47,2.147,188
FVS,calibrated,09,CT,reserve,2050,117.145,3.901,188
FVS,calibrated,09,CT,reserve,2075,155.242,5.17,188
FVS,calibrated,09,CT,reserve,2100,180.425,6.008,188
FVS,calibrated,10,DE,reserve,2025,12.66,0.786,101
FVS,calibrated,10,DE,reserve,2050,17.767,1.103,101
FVS,calibrated,10,DE,reserve,2075,20.784,1.291,101
FVS,calibrated,10,DE,reserve,2100,19.817,1.231,101
FVS,calibrated,12,FL,reserve,2025,320.05,5.537,1273
FVS,calibrated,12,FL,reserve,2050,468.129,8.099,1273
FVS,calibrated,12,FL,reserve,2075,533.23,9.225,1273
FVS,calibrated,12,FL,reserve,2100,527.11,9.119,1273
FVS,calibrated,13,GA,reserve,2025,590.06,6.255,1288
FVS,calibrated,13,GA,reserve,2050,841.353,8.918,1288
FVS,calibrated,13,GA,reserve,2075,954.138,10.114,1288
FVS,calibrated,13,GA,reserve,2100,998.493,10.584,1288
FVS,calibrated,19,IA,reserve,2025,72.67,2.434,33
FVS,calibrated,19,IA,reserve,2050,123.209,4.128,33
FVS,calibrated,19,IA,reserve,2075,158.52,5.31,33
FVS,calibrated,19,IA,reserve,2100,179.265,6.005,33
FVS,calibrated,16,ID,reserve,2025,417.43,5.844,85
FVS,calibrated,16,ID,reserve,2050,698.311,9.776,85
FVS,calibrated,16,ID,reserve,2075,953.329,13.347,85
FVS,calibrated,16,ID,reserve,2100,1021.335,14.299,85
FVS,calibrated,17,IL,reserve,2025,150.46,3.521,1
FVS,calibrated,17,IL,reserve,2050,218.989,5.124,1
FVS,calibrated,17,IL,reserve,2075,263.571,6.168,1
FVS,calibrated,17,IL,reserve,2100,274.159,6.415,1
FVS,calibrated,18,IN,reserve,2025,178.8,4.112,19
FVS,calibrated,18,IN,reserve,2050,271.361,6.241,19
FVS,calibrated,18,IN,reserve,2075,339.344,7.805,19
FVS,calibrated,18,IN,reserve,2100,358.838,8.253,19
FVS,calibrated,20,KS,reserve,2025,48.76,1.941,228
FVS,calibrated,20,KS,reserve,2050,70.732,2.815,228
FVS,calibrated,20,KS,reserve,2075,87.225,3.472,228
FVS,calibrated,20,KS,reserve,2100,89.765,3.573,228
FVS,calibrated,21,KY,reserve,2025,393.71,4.764,1089
FVS,calibrated,21,KY,reserve,2050,729.276,8.824,1089
FVS,calibrated,21,KY,reserve,2075,976.85,11.82,1089
FVS,calibrated,21,KY,reserve,2100,1120.163,13.554,1089
FVS,calibrated,22,LA,reserve,2025,339.71,4.62,179
