model,arm,dom,state,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se,n_matched
FVS,default,01,AL,reserve,2025,558.05,5.692,2043
FVS,default,01,AL,reserve,2050,768.358,7.837,2043
FVS,default,01,AL,reserve,2075,902.024,9.201,2043
FVS,default,01,AL,reserve,2100,854.353,8.714,2043
FVS,default,05,AR,reserve,2025,464.86,4.835,513
FVS,default,05,AR,reserve,2050,712.55,7.411,513
FVS,default,05,AR,reserve,2075,871.923,9.068,513
FVS,default,05,AR,reserve,2100,885.545,9.21,513
FVS,default,04,AZ,reserve,2025,135.23,2.421,223
FVS,default,04,AZ,reserve,2050,236.314,4.23,223
FVS,default,04,AZ,reserve,2075,329.051,5.89,223
FVS,default,04,AZ,reserve,2100,284.964,5.101,223
FVS,default,06,CA,reserve,2025,1002.65,12.032,492
FVS,default,06,CA,reserve,2050,2295.481,27.546,492
FVS,default,06,CA,reserve,2075,3449.327,41.392,492
FVS,default,06,CA,reserve,2100,4345.427,52.145,492
FVS,default,08,CO,reserve,2025,271.63,3.64,11
FVS,default,08,CO,reserve,2050,533.796,7.153,11
FVS,default,08,CO,reserve,2075,780.826,10.463,11
FVS,default,08,CO,reserve,2100,960.721,12.874,11
FVS,default,09,CT,reserve,2025,64.47,2.147,188
FVS,default,09,CT,reserve,2050,117.19,3.902,188
FVS,default,09,CT,reserve,2075,155.341,5.173,188
FVS,default,09,CT,reserve,2100,180.429,6.008,188
FVS,default,10,DE,reserve,2025,12.66,0.786,101
FVS,default,10,DE,reserve,2050,17.775,1.104,101
FVS,default,10,DE,reserve,2075,20.793,1.291,101
FVS,default,10,DE,reserve,2100,19.829,1.231,101
FVS,default,12,FL,reserve,2025,320.05,5.537,1273
FVS,default,12,FL,reserve,2050,468.156,8.099,1273
FVS,default,12,FL,reserve,2075,533.608,9.231,1273
FVS,default,12,FL,reserve,2100,528.06,9.135,1273
FVS,default,13,GA,reserve,2025,590.06,6.255,1288
FVS,default,13,GA,reserve,2050,840.525,8.91,1288
FVS,default,13,GA,reserve,2075,951.43,10.085,1288
FVS,default,13,GA,reserve,2100,993.959,10.536,1288
FVS,default,19,IA,reserve,2025,72.67,2.434,33
FVS,default,19,IA,reserve,2050,123.46,4.136,33
FVS,default,19,IA,reserve,2075,158.936,5.324,33
FVS,default,19,IA,reserve,2100,179.909,6.027,33
FVS,default,16,ID,reserve,2025,417.43,5.844,85
FVS,default,16,ID,reserve,2050,693.28,9.706,85
FVS,default,16,ID,reserve,2075,935.034,13.09,85
FVS,default,16,ID,reserve,2100,1014.747,14.206,85
FVS,default,17,IL,reserve,2025,150.46,3.521,1
FVS,default,17,IL,reserve,2050,219.508,5.136,1
FVS,default,17,IL,reserve,2075,264.237,6.183,1
FVS,default,17,IL,reserve,2100,275.509,6.447,1
FVS,default,18,IN,reserve,2025,178.8,4.112,19
FVS,default,18,IN,reserve,2050,271.588,6.247,19
FVS,default,18,IN,reserve,2075,339.464,7.808,19
FVS,default,18,IN,reserve,2100,359.261,8.263,19
FVS,default,20,KS,reserve,2025,48.76,1.941,228
FVS,default,20,KS,reserve,2050,70.995,2.826,228
FVS,default,20,KS,reserve,2075,87.674,3.489,228
FVS,default,20,KS,reserve,2100,90.5,3.602,228
FVS,default,21,KY,reserve,2025,393.71,4.764,1089
FVS,default,21,KY,reserve,2050,724.684,8.769,1089
FVS,default,21,KY,reserve,2075,968.534,11.719,1089
FVS,default,21,KY,reserve,2100,1111.143,13.445,1089
FVS,default,22,LA,reserve,2025,339.71,4.62,179
FVS,default,22,LA,reserve,2050,568.363,7.73,179
FVS,default,22,LA,reserve,2075,696.55,9.473,179
FVS,default,22,LA,reserve,2100,743.812,10.116,179
FVS,default,25,MA,reserve,2025,112.19,2.715,197
FVS,default,25,MA,reserve,2050,211.397,5.116,197
FVS,default,25,MA,reserve,2075,280.16,6.78,197
FVS,default,25,MA,reserve,2100,323.006,7.817,197
FVS,default,24,MD,reserve,2025,96.25,3.417,686
FVS,default,24,MD,reserve,2050,132.064,4.688,686
FVS,default,24,MD,reserve,2075,155.028,5.503,686
FVS,default,24,MD,reserve,2100,150.844,5.355,686
FVS,default,23,ME,reserve,2025,374.02,3.441,944
FVS,default,23,ME,reserve,2050,567.042,5.217,944
FVS,default,23,ME,reserve,2075,704.788,6.484,944
FVS,default,23,ME,reserve,2100,819.491,7.539,944
FVS,default,26,MI,reserve,2025,512.45,5.739,34
FVS,default,26,MI,reserve,2050,722.07,8.087,34
FVS,default,26,MI,reserve,2075,872.908,9.777,34
FVS,default,26,MI,reserve,2100,911.824,10.212,34
FVS,default,27,MN,reserve,2025,308.78,2.748,285
FVS,default,27,MN,reserve,2050,448.929,3.995,285
FVS,default,27,MN,reserve,2075,543.866,4.84,285
FVS,default,27,MN,reserve,2100,599.125,5.332,285
FVS,default,29,MO,reserve,2025,401.36,4.174,1569
FVS,default,29,MO,reserve,2050,694.514,7.223,1569
FVS,default,29,MO,reserve,2075,908.131,9.445,1569
FVS,default,29,MO,reserve,2100,1045.56,10.874,1569
FVS,default,28,MS,reserve,2025,523.05,6.015,28
FVS,default,28,MS,reserve,2050,1071.369,12.321,28
FVS,default,28,MS,reserve,2075,1437.317,16.529,28
FVS,default,28,MS,reserve,2100,1642.038,18.883,28
FVS,default,30,MT,reserve,2025,395.97,4.554,649
FVS,default,30,MT,reserve,2050,687.12,7.902,649
FVS,default,30,MT,reserve,2075,964.544,11.092,649
FVS,default,30,MT,reserve,2100,1201.271,13.815,649
FVS,default,37,NC,reserve,2025,568.76,6.598,2041
FVS,default,37,NC,reserve,2050,830.332,9.632,2041
FVS,default,37,NC,reserve,2075,1006.052,11.67,2041
FVS,default,37,NC,reserve,2100,1057.609,12.268,2041
FVS,default,38,ND,reserve,2025,10.39,0.753,61
FVS,default,38,ND,reserve,2050,19.753,1.432,61
FVS,default,38,ND,reserve,2075,30.043,2.178,61
FVS,default,38,ND,reserve,2100,40.957,2.969,61
FVS,default,31,NE,reserve,2025,22.4,1.284,82
FVS,default,31,NE,reserve,2050,50.481,2.893,82
FVS,default,31,NE,reserve,2075,71.686,4.108,82
FVS,default,31,NE,reserve,2100,87.554,5.017,82
FVS,default,33,NH,reserve,2025,153.16,2.542,325
FVS,default,33,NH,reserve,2050,268.986,4.465,325
FVS,default,33,NH,reserve,2075,353.515,5.868,325
FVS,default,33,NH,reserve,2100,407.751,6.769,325
FVS,default,34,NJ,reserve,2025,59.18,1.479,256
FVS,default,34,NJ,reserve,2050,116.013,2.9,256
FVS,default,34,NJ,reserve,2075,155.096,3.877,256
FVS,default,34,NJ,reserve,2100,176.647,4.416,256
FVS,default,35,NM,reserve,2025,160.7,2.491,4
FVS,default,35,NM,reserve,2050,371.881,5.764,4
FVS,default,35,NM,reserve,2075,597.085,9.255,4
FVS,default,35,NM,reserve,2100,768.783,11.916,4
FVS,default,32,NV,reserve,2025,54.14,1.186,96
FVS,default,32,NV,reserve,2050,130.633,2.861,96
FVS,default,32,NV,reserve,2075,207.059,4.535,96
FVS,default,32,NV,reserve,2100,383.393,8.396,96
FVS,default,36,NY,reserve,2025,592.43,6.161,117
FVS,default,36,NY,reserve,2050,1059.567,11.019,117
FVS,default,36,NY,reserve,2075,1402.571,14.587,117
FVS,default,36,NY,reserve,2100,1628.646,16.938,117
FVS,default,39,OH,reserve,2025,250.86,4.917,243
FVS,default,39,OH,reserve,2050,429.844,8.425,243
FVS,default,39,OH,reserve,2075,550.658,10.793,243
FVS,default,39,OH,reserve,2100,605.48,11.867,243
FVS,default,40,OK,reserve,2025,177.51,2.645,870
FVS,default,40,OK,reserve,2050,384.351,5.727,870
FVS,default,40,OK,reserve,2075,522.525,7.786,870
FVS,default,40,OK,reserve,2100,596.584,8.889,870
FVS,default,41,OR,reserve,2025,1022.66,8.999,46
