state,dist_mode,scenario,n_models,ens_equal,ens_benchmark,median,min,max,between_sd,lo90,hi90
AL,nodisturb,reserve,4,820.9,886.7,838.9,360.2,1245.7,366.7,235.7,1442.1
AL,disturbed,reserve,4,809.2,874.3,827,353.7,1229,362.5,230.7,1423.4
AL,nodisturb,conservation,4,527.5,574.6,542.1,197.7,827.9,262.8,109.8,974.4
AL,disturbed,conservation,4,517.9,564.3,532.4,192.6,814.1,259.2,106,958.8
AL,nodisturb,BAU,4,289.4,319,301,82.3,473.2,165.6,28.5,573.5
AL,disturbed,BAU,4,282,311.1,293.6,78.5,462.5,162.9,25.7,561.5
AL,nodisturb,intensive,4,161.8,178.1,168.8,47.8,261.9,93.8,14.5,323.1
AL,disturbed,intensive,4,157.2,172.9,163.6,47.4,254.2,90.9,14.1,313
AR,nodisturb,reserve,4,617.9,664.7,673.6,290.5,833.9,241.3,276.8,1070.5
AR,disturbed,reserve,4,607.5,653.6,662,284.2,821.6,238.5,269.6,1054.4
AR,nodisturb,conservation,4,433,469.3,467.2,178.6,618.7,194.7,147,787.5
AR,disturbed,conservation,4,424,459.8,457.3,173.4,608.1,192.3,140.9,773.7
AR,nodisturb,BAU,4,259.7,285,273,82.4,410.4,145.8,33.1,512.8
AR,disturbed,BAU,4,252.5,277.4,264.9,78.4,401.8,143.9,28.2,501.6
AR,nodisturb,intensive,4,139,152.9,137.2,41.4,240.3,88.7,0,283.1
AR,disturbed,intensive,4,135.4,148.9,133.3,41,233.9,85.7,0,274.4
AZ,nodisturb,reserve,4,174.1,181.1,189.8,72.9,244.1,80.5,57.4,322.1
AZ,disturbed,reserve,4,171.6,178.5,186.8,71.6,241,79.5,56.1,317.6
AZ,nodisturb,conservation,4,169.2,176.1,184.2,70.1,238.2,78.8,54.6,313.7
AZ,disturbed,conservation,4,166.7,173.6,181.3,68.8,235.2,77.8,53.3,309.4
AZ,nodisturb,BAU,4,159.1,165.9,172.8,64.4,226.3,75.3,48.9,296.7
AZ,disturbed,BAU,4,156.6,163.5,170,63.2,223.3,74.4,47.7,292.3
AZ,nodisturb,intensive,4,145.5,152.2,157.5,56.9,210.2,70.6,41.3,273.7
AZ,disturbed,intensive,4,143.2,149.9,154.8,55.7,207.3,69.7,40.2,269.5
CA,nodisturb,reserve,4,1750.8,1627.8,1381.8,506.4,3733.4,1384.6,0,3659.5
CA,disturbed,reserve,4,1580.6,1465.8,1236.1,435.9,3414.5,1279.5,0,3340.7
CA,nodisturb,conservation,4,1630.4,1512.2,1275.8,448.5,3521.6,1319.7,0,3446.8
CA,disturbed,conservation,4,1465.5,1355.2,1134.8,380.7,3211.8,1217.3,0,3137.1
CA,nodisturb,BAU,4,1473.8,1362.1,1138.7,375.2,3242.8,1233,0,3167
CA,disturbed,BAU,4,1316,1212,1003.8,311,2945.3,1134.2,0,2869.7
CA,nodisturb,intensive,4,1155.6,1058.1,863,234.9,2661.3,1046.6,0,2584.7
CA,disturbed,intensive,4,1013.8,923.3,742.3,178.7,2391.8,956.3,0,2315.5
CO,nodisturb,reserve,4,383.8,391.2,406.1,128.1,594.9,201.5,74.7,737.5
CO,disturbed,reserve,4,353.8,360.7,374.6,113.9,552,189.2,63.3,685.9
CO,nodisturb,conservation,4,377.4,384.7,399.4,124.6,586.1,199.2,71.7,727.1
CO,disturbed,conservation,4,347.6,354.4,368.1,110.6,543.5,187,60.5,675.7
CO,nodisturb,BAU,4,367.2,374.4,388.8,119.2,572.1,195.5,67.1,710.4
CO,disturbed,BAU,4,337.7,344.4,357.8,105.4,529.9,183.4,56.1,659.5
CO,nodisturb,intensive,4,345.6,352.4,366.1,107.8,542.2,187.7,57.4,674.9
CO,disturbed,intensive,4,316.9,323.2,336,94.4,501.1,175.9,46.7,625.3
CT,nodisturb,reserve,4,92.2,98.8,83.3,46,156.2,48,4.4,162.2
CT,disturbed,reserve,4,88.3,94.7,79.7,43.5,150.4,46.6,3,156.3
CT,nodisturb,conservation,4,86.5,92.8,77.9,42.3,147.9,46,2.2,153.6
